Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,31782925,"33,643.80",,12PCEASAPM20
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,31812278,"45,984.48",,HT000047343
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,31812278,"28,291.67",,HT000047343
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-APMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,31812278,"4,700.00",,HT000047343
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,31812278,"13,098.75",,HT000047343
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,Clinical&Medical-Clinical Other,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,32141726,"39,697.93",,12PC203WR
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,32068217,"90,400.94",,HT000047357
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,32068217,"9,837.60",,HT000047357
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,32068217,"6,516.00",,HT000047357
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,32068217,"87,040.00",,HT000047357
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,32068217,234.96,,HT000047357
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,32068217,"9,479.70",,HT000047357
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS LES Subj Awaiting CoA App,LOCAL ENHANCED SERVICES,AMWELL STREET SURGERY,32085651,"46,885.20",,FSEN04200041
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,Computer Software/License,PRIMARY CARE IT,ARDENS HEALTH INFORMATICS LTD,31784720,"38,574.94",193674175,99
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32068215,584.62,879108291,HT000047353
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Dispensing Quality Sch,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32068215,"7,469.10",879108291,HT000047353
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32068215,"60,861.47",879108291,HT000047353
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32068215,"4,958.00",879108291,HT000047353
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32068215,"6,670.00",879108291,HT000047353
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32068215,"22,220.00",879108291,HT000047353
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32068215,"20,209.35",879108291,HT000047353
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32068215,"4,770.48",879108291,HT000047353
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS LES Subj Awaiting CoA App,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,32085631,"27,832.08",879108291,FSEN04200021
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,32097967,"-23,711.00",879108291,HT000047674
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32097967,"-2,061.00",879108291,HT000047674
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,32097968,"53,728.32",879108291,HT000047675
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32097968,"8,902.97",879108291,HT000047675
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,32097968,"2,061.00",879108291,HT000047675
Department of Health,NHS East & North Hertfordshire CCG,30/04/2020,C&M-GMS Dispensing Quality Sch,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,32068265,"1,901.46",,HT000047447
