Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,12 POINT CARE LTD,28433004,"28,549.50",,FSEN0819036
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28458076,"-7,627.40",,HT000042840
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28458076,"-4,275.00",,HT000042840
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28458076,"-1,068.75",,HT000042840
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28458076,"-5,692.09",,HT000042840
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28458076,"-7,160.63",,HT000042840
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28485129,"42,870.96",,HT000042841
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28485129,"5,757.66",,HT000042841
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28485129,"2,692.85",,HT000042841
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,12 POINT CARE LTD,28485129,"5,893.88",,HT000042841
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28485129,725.13,,HT000042841
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28485129,"7,732.75",,HT000042841
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28485129,351.98,,HT000042841
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28485129,"3,205.01",,HT000042841
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,28688510,"85,266.99",,HT000043017
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,28688510,"1,155.08",,HT000043017
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,28688510,"4,676.86",,HT000043017
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,28688510,"14,994.00",,HT000043017
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,28688506,"58,167.82",879108291,HT000043013
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,28688506,575.4,879108291,HT000043013
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,28688506,"2,367.72",879108291,HT000043013
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,28688506,"12,510.80",879108291,HT000043013
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,28688506,"3,342.50",879108291,HT000043013
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,28688506,376.98,879108291,HT000043013
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,28721996,"-26,246.06",879108291,HT000043233
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,28721996,"-2,700.00",879108291,HT000043233
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,28721997,"52,019.78",879108291,HT000043234
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,28721997,"10,499.67",879108291,HT000043234
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,28721997,"2,700.00",879108291,HT000043234
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,28688605,"119,524.67",,HT000043114
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,28688605,119.68,,HT000043114
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,28688605,"2,265.58",,HT000043114
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,28688605,"60,927.50",,HT000043114
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,28722056,"27,707.45",,HT000043293
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,28722056,"3,313.15",,HT000043293
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,28722056,684,,HT000043293
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,28392154,"77,497.00",654924414,8458156
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,28408269,"56,567.00",GB 654911917,104624
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,28390928,"36,201.54",654912424,IO172382
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,28688508,"88,226.10",,HT000043015
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,28688508,"3,574.18",,HT000043015
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,28688508,"3,229.17",,HT000043015
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,28688508,"3,841.25",,HT000043015
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,28688512,"92,426.46",,HT000043019
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,28688512,"4,252.20",,HT000043019
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,28688512,"8,850.00",,HT000043019
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,28688512,"2,534.00",,HT000043019
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,28688512,306.82,,HT000043019
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,28408188,"174,304.62",GB235134980,111998
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,28408192,"170,226.34",GB235134980,112046
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,28628085,"81,082.33",GB235134980,111307
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,Clinical&Medical-Independent Sector - Prior Year,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,28751900,"38,405.09",GB235134980,105820
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,28751938,"71,213.02",GB235134980,110533
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,28751947,"49,250.14",GB235134980,110532
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,28730209,"61,050.00",,16694
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,28688518,"115,143.85",,HT000043025
Department of Health,NHS East & North Hertfordshire CCG,31/08/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,28688518,"2,022.98",,HT000043025
