Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,33412643,"35,477.06",Clinical&Medical-Clinical Other,FSEN08200004
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,33485777,"46,430.06",C&M-APMS Contract Value,HT000049556
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,33485777,"3,318.47",C&M-PMS QOF Aspiration,HT000049556
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,33666933,"1,400.00",C&M-GMS DES Learn Dsblty Hlth Chk,HT000049575
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,33666933,"91,071.91",C&M-GMS Global Sum,HT000049575
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,33666933,"9,809.85",C&M-GMS QOF Aspiration,HT000049575
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,33666933,"2,783.54",ME - GMS GP Prior Year ERs,HT000049575
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,33666933,"3,883.13",ME-GMS GP Prior Year EEs,HT000049575
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Computer Software/License,PRIMARY CARE IT,ARDENS HEALTH INFORMATICS LTD,33575459,"38,574.93",Computer Software/License,121
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,33666929,"61,538.40",C&M-GMS Global Sum,HT000049571
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,33666929,402,C&M-GMS Prof Fees Dispensing,HT000049571
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,33666929,"4,820.62",C&M-GMS QOF Aspiration,HT000049571
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,33685475,"-27,332.68",C&M-GMS Cost of Drugs -Dispensing,HT000049871
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,33685475,"-1,930.65",C&M-GMS PrscChrgsCll&RmttdbyGPCntra,HT000049871
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,33685480,"46,741.42",C&M-GMS Cost of Drugs -Dispensing,HT000049872
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,33685480,"9,966.60",C&M-GMS Prof Fees Dispensing,HT000049872
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,33685480,"1,930.65",C&M-GMS PrscrptnChrgsColl&RmttdbyGP,HT000049872
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,33667015,"126,913.84",C&M-GMS Global Sum,HT000049663
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,33667015,"59,190.00",C&M-GMS Prem Actual Rent,HT000049663
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,33667015,"1,434.00",C&M-GMS Prof Fees Dispensing,HT000049663
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,33667015,"11,357.73",C&M-GMS QOF Aspiration,HT000049663
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,33424765,"49,231.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP092001
