Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,30125748,"42,870.96",,HT000045178
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,30125748,"12,730.08",,HT000045178
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,30125748,"5,953.84",,HT000045178
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,12 POINT CARE LTD,30125748,"13,031.26",,HT000045178
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,30125748,725.13,,HT000045178
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,30125748,"3,205.01",,HT000045178
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,30140023,"34,765.26",,12PCEASAPM16
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,ABI DEVELOPMENTS 3 LTD,30254667,"25,200.00",,387
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,ABI DEVELOPMENTS 3 LTD,30254667,"17,568.00",,387
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30370534,"85,694.02",,HT000045353
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30370534,"1,155.08",,HT000045353
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30370534,"2,338.43",,HT000045353
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30370534,"2,704.93",,HT000045353
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30370534,"46,542.00",,HT000045353
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30370534,"14,994.00",,HT000045353
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30370531,"58,214.29",879108291,HT000045349
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30370531,575.4,879108291,HT000045349
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30370531,"1,183.86",879108291,HT000045349
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30370531,"7,320.80",879108291,HT000045349
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30370531,"1,359.80",879108291,HT000045349
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30370531,"7,962.50",879108291,HT000045349
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30370531,"3,342.50",879108291,HT000045349
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,30394310,"-32,818.44",879108291,HT000045668
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30394310,"-2,286.00",879108291,HT000045668
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,30394311,"31,075.76",879108291,HT000045669
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30394311,"10,600.20",879108291,HT000045669
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,30394311,"2,286.00",879108291,HT000045669
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,30370630,"23,921.42",,HT000045451
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,30370630,"120,656.26",,HT000045451
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,30370630,119.68,,HT000045451
Department of Health,NHS East & North Hertfordshire CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,30370630,"2,453.14",,HT000045451
