Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,34884173,"46,430.06",C&M-APMS Contract Value,HT000051703
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,34884173,"20,925.00",C&M-APMS Prem Actual Rent,HT000051703
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,34884173,"3,318.47",C&M-PMS QOF Aspiration,HT000051703
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,35064897,"35,477.06",Clinical&Medical-Clinical Other,FSEN1220441
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,35037076,"30,218.10",C&M-GMS LES Subj Awaiting CoA App,FSEN1220049
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,35078912,"91,106.67",C&M-GMS Global Sum,HT000051776
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,35078912,"44,322.00",C&M-GMS Prem Actual Rent,HT000051776
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,35078908,"61,755.20",C&M-GMS Global Sum,HT000051772
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,35078908,"22,475.00",C&M-GMS Prem Notional Rent,HT000051772
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,35078908,241.21,C&M-GMS Prem Water Rates,HT000051772
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,35097550,"-26,684.85",C&M-GMS Cost of Drugs -Dispensing,HT000052083
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,35097550,"-1,967.25",C&M-GMS PrscChrgsCll&RmttdbyGPCntra,HT000052083
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,35097551,"75,629.08",C&M-GMS Cost of Drugs -Dispensing,HT000052084
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,35097551,"15,499.66",C&M-GMS Prof Fees Dispensing,HT000052084
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,35097551,"1,967.25",C&M-GMS PrscrptnChrgsColl&RmttdbyGP,HT000052084
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,35037070,"42,020.74",C&M-GMS LES Subj Awaiting CoA App,FSEN1220046
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,35078997,"126,875.38",C&M-GMS Global Sum,HT000051862
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,35097602,"-32,971.80",C&M-GMS Cost of Drugs -Dispensing,HT000052135
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,35097602,"-1,308.45",C&M-GMS PrscChrgsCll&RmttdbyGPCntra,HT000052135
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,35097603,"52,854.99",C&M-GMS Cost of Drugs -Dispensing,HT000052136
