Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,30544747,"42,870.96",,HT000045846
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,30544747,"12,730.08",,HT000045846
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,30544747,"5,953.84",,HT000045846
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,12 POINT CARE LTD,30544747,"13,031.26",,HT000045846
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,30544747,725.13,,HT000045846
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,30544747,"22,100.00",,HT000045846
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,30544747,"3,205.01",,HT000045846
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,30658964,"34,765.26",,12PCEASAPM17
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30800838,656.91,,HT000045922
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30800838,"86,355.77",,HT000045922
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30800838,"1,155.08",,HT000045922
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30800838,"2,338.43",,HT000045922
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30800838,"6,426.00",,HT000045922
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30800838,870.97,,HT000045922
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,30800838,"1,001.96",,HT000045922
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,Computer Software/License,PRIMARY CARE IT,ARDENS HEALTH INFORMATICS LTD,30708660,"41,693.93",193674175,95
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30800834,"1,839.34",879108291,HT000045918
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30800834,"58,386.96",879108291,HT000045918
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30800834,575.4,879108291,HT000045918
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30800834,"1,547.95",879108291,HT000045918
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30800834,"1,183.86",879108291,HT000045918
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30800834,"6,431.37",879108291,HT000045918
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30800834,"7,962.50",879108291,HT000045918
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30800834,"1,432.50",879108291,HT000045918
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30800834,68.43,879108291,HT000045918
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,30827476,"-35,019.52",879108291,HT000046138
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30827476,"-2,277.00",879108291,HT000046138
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,30827477,"58,653.28",879108291,HT000046139
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,30827477,"11,524.11",879108291,HT000046139
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,30827477,"2,277.00",879108291,HT000046139
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,30800942,"8,014.73",,HT000046016
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,30800942,"120,872.53",,HT000046016
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,30800942,119.68,,HT000046016
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,30800942,"1,748.13",,HT000046016
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,30800942,"2,453.14",,HT000046016
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,30800942,"10,481.00",,HT000046016
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,30800942,"4,200.95",,HT000046016
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,30827536,"31,681.90",,HT000046199
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,30827536,"4,717.32",,HT000046199
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,30827536,999,,HT000046199
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,30640330,"38,104.50",GB 654408435,B0000458
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30507744,"56,567.00",GB 654911917,106911
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,30470548,"36,201.54",654912424,I0175397
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),30768948,"63,236.36",,106704-22-JAN-2020
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),30768948,"7,186.03",,106704-22-JAN-2020
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),30768948,"3,435.63",,106704-22-JAN-2020
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),30768948,390.41,,106704-22-JAN-2020
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,30800836,613.06,,HT000045920
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,30800836,"88,188.79",,HT000045920
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,30800836,"2,533.16",,HT000045920
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,30800836,"1,819.72",,HT000045920
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,30800836,"3,229.17",,HT000045920
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,30800836,"1,646.25",,HT000045920
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,30800836,133.24,,HT000045920
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,30800840,"1,532.69",,HT000045924
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,30800840,"92,607.48",,HT000045924
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,30800840,"2,929.61",,HT000045924
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,30800840,"2,126.10",,HT000045924
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,30800840,"9,129.17",,HT000045924
Department of Health,NHS East & North Hertfordshire CCG,31/01/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,30800840,"1,086.00",,HT000045924
