Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,35234586,"46,430.06",C&M-APMS Contract Value,HT000052243
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,35234586,"3,318.47",C&M-PMS QOF Aspiration,HT000052243
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,35241360,"35,477.06",Clinical&Medical-Clinical Other,FSEN01210002
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS PCN DES PCN support,GP FORWARD VIEW,12 POINT CARE LTD,35310323,"33,160.64",C&M-GMS PCN DES PCN support,FSEN01210016
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS PCN DES PCN support,GP FORWARD VIEW,12 POINT CARE LTD,35310337,"40,264.53",C&M-GMS PCN DES PCN support,FSEN01210018
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Clinical&Medical-Clinical Other,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,35322383,"31,267.16",Clinical&Medical-Clinical Other,FSEN01210030
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-APMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,35409978,"192,130.56",C&M-APMS Other Addtl Staff Paymts,FSEN01210048
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,35419968,"1,820.00",C&M-GMS DES Learn Dsblty Hlth Chk,HT000052311
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,35419968,262.8,C&M-GMS DES Minor Surgery,HT000052311
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,35419968,"91,517.03",C&M-GMS Global Sum,HT000052311
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Computer Software/License,PRIMARY CARE IT,ARDENS HEALTH INFORMATICS LTD,35172506,"35,824.12",Computer Software/License,144
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,35419962,"1,926.94",C&M-GMS DES Minor Surgery,HT000052307
