Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,33061819,"35,477.06",Clinical&Medical-Clinical Other,FSEN07200342
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,33065949,"46,430.06",C&M-APMS Contract Value,HT000049155
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,33065949,"3,318.47",C&M-PMS QOF Aspiration,HT000049155
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,33332997,846.67,C&M-GMS DES Minor Surgery,HT000049254
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,33332997,"91,071.91",C&M-GMS Global Sum,HT000049254
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,33332993,"1,926.94",C&M-GMS DES Minor Surgery,HT000049250
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,33332993,"61,538.40",C&M-GMS Global Sum,HT000049250
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,33332993,228.4,C&M-GMS Prem Water Rates,HT000049250
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,33352988,"-28,005.83",C&M-GMS Cost of Drugs -Dispensing,HT000049455
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,33352988,"-1,619.55",C&M-GMS PrscChrgsCll&RmttdbyGPCntra,HT000049455
