Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,31403004,"34,765.26",,12PCEASAPM19
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS LES In House Services,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,31485734,"55,000.00",,12PCSOLGPF01
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,31388897,"42,899.98",,HT000046888
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,31388897,"12,730.08",,HT000046888
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,31388897,"5,953.84",,HT000046888
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,12 POINT CARE LTD,31388897,"16,122.89",,HT000046888
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,31388897,725.13,,HT000046888
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,31388897,"3,205.01",,HT000046888
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,12 POINT CARE LTD,31645962,"-25,096.60",,HT000047003
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-APMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,31645963,"27,097.14",,HT000047004
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,31643650,"86,355.77",,HT000046909
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,31643650,"1,155.08",,HT000046909
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,31643650,"2,338.43",,HT000046909
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,31643650,"9,857.60",,HT000046909
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,31643650,"2,504.12",,HT000046909
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,31643650,"46,542.00",,HT000046909
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,31643650,"8,976.00",,HT000046909
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,31643650,"9,479.70",,HT000046909
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,31643646,980,879108291,HT000046905
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,31643646,"58,386.96",879108291,HT000046905
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,31643646,575.4,879108291,HT000046905
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,31643646,"1,183.86",879108291,HT000046905
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,31643646,"3,398.70",879108291,HT000046905
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,31643646,"1,371.30",879108291,HT000046905
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,31643646,"7,962.50",879108291,HT000046905
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,31643646,"1,432.50",879108291,HT000046905
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,31643646,62.01,879108291,HT000046905
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,31643646,"4,770.48",879108291,HT000046905
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,31671130,"-24,322.37",879108291,HT000047227
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,31671130,"-1,467.00",879108291,HT000047227
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,31671133,"47,947.02",879108291,HT000047228
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,31671133,"8,760.47",879108291,HT000047228
Department of Health,NHS East & North Hertfordshire CCG,31/03/2020,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,31671133,"1,467.00",879108291,HT000047228
