Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,32284836,"46,895.81",,HT000047789
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-APMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,32284836,262.74,,HT000047789
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,32284836,"3,205.01",,HT000047789
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,32316113,"35,477.06",,FSEN05200203
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,32475045,262.8,,HT000047808
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,32475045,"90,400.94",,HT000047808
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,32475045,"7,958.00",,HT000047808
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,32475045,677.18,,HT000047808
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,32475045,"9,479.70",,HT000047808
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32475038,140,879108291,HT000047804
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32475038,"1,664.24",879108291,HT000047804
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32475038,"60,861.47",879108291,HT000047804
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32475038,604.4,879108291,HT000047804
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32475038,"4,770.48",879108291,HT000047804
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,32510315,"-31,947.80",879108291,HT000048216
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32510315,"-2,448.00",879108291,HT000048216
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,32510316,"52,106.03",879108291,HT000048217
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,32510316,"11,728.04",879108291,HT000048217
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,32510316,"2,448.00",879108291,HT000048217
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,32475132,"7,270.30",,HT000047896
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,32475132,"126,123.41",,HT000047896
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,32475132,"14,887.92",,HT000047896
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,32475132,"10,695.00",,HT000047896
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,32475132,"59,190.00",,HT000047896
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,32475132,"69,120.00",,HT000047896
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,32475132,507.09,,HT000047896
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,32475132,"10,763.75",,HT000047896
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,32277080,"49,231.00",654924414,06KBP062001
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,Hcare Srv Rec NHS Trust-Prior Year,REABLEMENT,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,32457945,"25,403.00",GB 654408435,B0001117
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32277081,"136,842.00",654947005,06KBP062002
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32322158,"235,000.34",654947005,401381
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,32277083,"33,582.00",,06KBP062004
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,32277098,"215,530.00",,06KBP062019
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,32381346,"-78,279.25",,53005200
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,32475041,700.64,,HT000047806
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,32475041,"91,790.51",,HT000047806
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,32475041,"7,805.00",,HT000047806
Department of Health,NHS East & North Hertfordshire CCG,31/05/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,32475041,"21,990.00",,HT000047806
