Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,29685638,"33,643.80",,12PCEASAPM15
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29766994,"42,933.76",,HT000044620
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29766994,"12,730.08",,HT000044620
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29766994,"5,953.84",,HT000044620
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,12 POINT CARE LTD,29766994,"13,031.26",,HT000044620
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29766994,725.13,,HT000044620
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29766994,280,,HT000044620
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29766994,"3,205.01",,HT000044620
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29947253,"85,694.02",,HT000044788
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29947253,"1,155.08",,HT000044788
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29947253,"2,338.43",,HT000044788
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29947253,"14,994.00",,HT000044788
Department of Health,NHS East & North Hertfordshire CCG,30/11/2019,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29947253,360,,HT000044788
