Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,34517351,"46,430.06",C&M-APMS Contract Value,HT000051082
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,34517351,420,C&M-PMS DES Learn Dsblty Hlth Chk,HT000051082
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,34517351,"3,318.47",C&M-PMS QOF Aspiration,HT000051082
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,34554947,"35,477.06",Clinical&Medical-Clinical Other,FSEN1120002
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Clinical Other,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,34674276,"26,934.10",Clinical&Medical-Clinical Other,FSEN1120029
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,34716437,"91,106.67",C&M-GMS Global Sum,HT000051249
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34716433,"61,755.20",C&M-GMS Global Sum,HT000051245
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34716433,49.32,C&M-GMS Prem Healthcentre Rent,HT000051245
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34716433,377.26,C&M-GMS Prem Notional Rent,HT000051245
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34716433,168.53,C&M-GMS Prem Water Rates,HT000051245
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,34735661,"-29,586.20",C&M-GMS Cost of Drugs -Dispensing,HT000051546
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34735661,"-1,601.25",C&M-GMS PrscChrgsCll&RmttdbyGPCntra,HT000051546
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,34735662,"53,381.61",C&M-GMS Cost of Drugs -Dispensing,HT000051547
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34735662,"11,311.07",C&M-GMS Prof Fees Dispensing,HT000051547
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,34735662,"1,601.25",C&M-GMS PrscrptnChrgsColl&RmttdbyGP,HT000051547
