Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29305150,"42,870.96",,HT000044073
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29305150,"12,730.08",,HT000044073
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29305150,"5,953.84",,HT000044073
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,12 POINT CARE LTD,29305150,"13,031.26",,HT000044073
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29305150,725.13,,HT000044073
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29305150,"22,100.00",,HT000044073
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29305150,"1,289.00",,HT000044073
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29305150,180.2,,HT000044073
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,29305150,"3,205.01",,HT000044073
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,29333240,"37,966.94",,12PCEASAPM14
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29538399,963.42,,HT000044238
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29538399,"85,694.02",,HT000044238
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29538399,"1,155.08",,HT000044238
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29538399,"2,338.43",,HT000044238
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29538399,"14,994.00",,HT000044238
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29538399,217.28,,HT000044238
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,Computer Software/License,PRIMARY CARE IT,ARDENS HEALTH INFORMATICS LTD,29580933,"42,887.92",193674175,90
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29538395,"1,926.98",879108291,HT000044234
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29538395,"58,214.29",879108291,HT000044234
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29538395,575.4,879108291,HT000044234
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29538395,"1,183.86",879108291,HT000044234
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29538395,"12,414.34",879108291,HT000044234
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29538395,"7,962.50",879108291,HT000044234
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29538395,"3,342.50",879108291,HT000044234
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,29564140,"-28,361.28",879108291,HT000044445
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29564140,"-2,169.00",879108291,HT000044445
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,29564141,"53,017.37",879108291,HT000044446
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29564141,"11,006.57",879108291,HT000044446
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,29564141,"2,169.00",879108291,HT000044446
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,29538487,"8,146.10",,HT000044329
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,29538487,"120,656.26",,HT000044329
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,29538487,119.68,,HT000044329
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,29538487,"1,132.79",,HT000044329
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,29538487,"54,432.00",,HT000044329
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,29564200,"32,179.35",,HT000044506
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,29564200,"3,494.19",,HT000044506
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,29564200,756,,HT000044506
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,29226568,"77,497.00",654924414,8459284
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,29373693,"239,582.50",654947005,383632
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,29504035,"48,663.37",654947005,379891
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,29504137,"244,034.49",654947005,386152
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,29555396,"-27,523.90",654947005,389068
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,29315364,"56,567.00",GB 654911917,105152
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,29241126,"36,201.54",654912424,I0173616
Department of Health,NHS East & North Hertfordshire CCG,31/10/2019,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),29215156,"3,464.12",,106448-27-SEP-2019
