Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28886545,"42,870.96",,HT000043408
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28886545,"12,730.08",,HT000043408
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28886545,"5,953.84",,HT000043408
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,12 POINT CARE LTD,28886545,"13,031.26",,HT000043408
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28886545,725.13,,HT000043408
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28886545,"22,100.00",,HT000043408
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28886545,"1,289.00",,HT000043408
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,28886545,"3,205.01",,HT000043408
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,28891750,"36,742.20",,12PCEASAPM12
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29106376,"85,266.99",,HT000043580
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29106376,"1,155.08",,HT000043580
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29106376,"2,338.43",,HT000043580
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29106376,"3,361.22",,HT000043580
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29106376,"46,542.00",,HT000043580
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,29106376,"14,994.00",,HT000043580
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29106372,"58,167.82",879108291,HT000043576
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29106372,575.4,879108291,HT000043576
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29106372,"1,183.86",879108291,HT000043576
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29106372,"1,330.50",879108291,HT000043576
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29106372,"7,962.50",879108291,HT000043576
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29106372,"3,342.50",879108291,HT000043576
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29106372,183.52,879108291,HT000043576
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,29131041,"-28,514.88",879108291,HT000043895
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29131041,"-2,772.00",879108291,HT000043895
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,29131042,"54,408.27",879108291,HT000043896
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,29131042,"11,758.03",879108291,HT000043896
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,29131042,"2,772.00",879108291,HT000043896
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,29106540,"119,524.67",,HT000043674
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,29106540,119.68,,HT000043674
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,29106540,"1,132.79",,HT000043674
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,29106540,953.4,,HT000043674
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,29131101,"25,249.52",,HT000043956
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,29131101,"3,297.08",,HT000043956
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,29131101,711,,HT000043956
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,28807138,"77,497.00",654924414,8458799
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,28772160,"210,812.66",654947005,381006
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,28993593,"47,508.00",GB 654911917,104286
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,28837726,"36,201.54",654912424,I0173028
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,29106373,"-1,404.37",,HT000043577
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,29106373,"-1,646.25",,HT000043577
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,29106373,-159.59,,HT000043577
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,29106373,"-3,663.79",,HT000043577
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,29106373,"-24,248.49",,HT000043577
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,29106373,"-23,510.79",,HT000043577
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,29106374,"88,226.10",,HT000043578
Department of Health,NHS East & North Hertfordshire CCG,30/09/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,29106374,"1,787.09",,HT000043578
