Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,33819048,"46,430.06",C&M-APMS Contract Value,HT000050024
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,33819048,"20,925.00",C&M-APMS Prem Actual Rent,HT000050024
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,33819048,154.49,C&M-APMS Prem Water Rates,HT000050024
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,33819048,"3,318.47",C&M-PMS QOF Aspiration,HT000050024
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,33933872,"35,477.06",Clinical&Medical-Clinical Other,FSEN09200029
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,34000640,"91,071.91",C&M-GMS Global Sum,HT000050099
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,34000640,"44,322.00",C&M-GMS Prem Actual Rent,HT000050099
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34000635,-865.7,C&M-GMS GP Statutory Levy,HT000050094
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34000635,-59.03,C&M-GMS Voluntary Levy,HT000050094
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34000635,"-10,904.81",ME - GMS GP Prior Year ERs,HT000050094
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34000635,"-3,455.54",ME-GMS GP Pension EEs,HT000050094
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34000635,"-6,283.32",ME-GMS GP Pension EEs Adjustments,HT000050094
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34000635,"-9,832.31",ME-GMS GP Pension ERs Adjustments,HT000050094
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34000635,"-10,995.81",ME-GMS GP Prior Year EEs,HT000050094
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34000636,"61,538.40",C&M-GMS Global Sum,HT000050095
Department of Health,NHS East & North Hertfordshire CCG,9/30/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,34000636,"22,220.00",C&M-GMS Prem Notional Rent,HT000050095
