Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Clinical&Medical-Independent Sector,Winter Resilience,12 POINT CARE LTD,14990371,"31,662.50",,12PC021WR
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,14978705,"25,979.68",879108291,FSEN1116022
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,15127265,"-32,099.76",879108291,HT000026548
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,15127266,"59,217.80",879108291,HT000026549
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,15127266,"2,755.20",879108291,HT000026549
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,14903403,"52,310.00",,8432953
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,15190067,"29,486.00",,41424143
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,14958927,"195,671.80",,271821
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14890105,"65,882.00",,82874
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,14865458,"27,706.00",,I0151848
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,14839472,"102,592.06",,64431
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,14839475,"95,444.77",,64432
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,15146261,"36,238.10",,64717
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,BPAS,15132345,"25,654.09",855924881,32762
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,15127272,"-33,964.80",,HT000026555
