Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9031930,"-30,001.55",,HT000018705
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9031931,"60,685.42",,HT000018706
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9031931,"2,443.60",,HT000018706
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,8866734,"68,721.03",,8418547
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,8796802,"155,349.34",,228948
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8866814,"59,462.00",,73178
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,8824087,"27,706.00",,I0143275
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,9037818,"54,840.43",,15092
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,8925372,"140,560.00",239731641,BUP1506ENA
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8619174,"915,166.67",,70014683
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8895394,"182,908.85",,80164068
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Miscellaneous Expenditure (L9),COMMISSIONING SCHEMES,CHELLS WAY SURGERY,8823402,"30,000.00",,MM250199
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,8867175,"26,916.67",,52748764
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Furniture & Fittings,NON RECURRENT PROGRAMMES,DART,8876658,"28,383.64",,375972
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8760775,"5,000,000.00",,4118687
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8760783,"16,003,575.00",,4118688
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8823274,"58,853.00",,4117964
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8824407,"51,683.00",,4118825
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8867159,"40,754.00",,4118890
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8957969,"3,000,000.00",,4119195
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,8913032,"1,337,151.51",,833173
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,8867121,"71,315.17",,X0138964
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,8867021,"89,773.00",,3171424
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Clinical&Medical-Independent Sector,URGENT CARE,HAVERSTOCK HEALTHCARE LTD,9037916,"50,242.00",,CHESHUNTMIU0815
