Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,AMWELL STREET SURGERY,8708082,"29,740.00",,FSCFE38
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,8743678,"-31,301.00",,HT000018166
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,8743679,"2,870.00",,HT000018167
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,8743679,"60,039.34",,HT000018167
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8539204,"59,462.00",,72570
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,8510967,"27,706.00",,I0142810
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,BEDWELL MEDICAL CENTRE,8708094,"30,722.50",,FSCFE40
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,BIRCHWOOD SURGERY,8708132,"34,635.00",,FSCFE46
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,8736207,"66,074.41",,15005
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,8736223,"50,302.52",,15032
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,8736490,"33,024.16",,15064
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,8708171,"40,440.00",,FSCFE53
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,8573915,"91,928.57",239731641,BUP1504EN
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,8736294,"101,817.14",239731641,BUP1505EN
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8450245,"915,166.67",,70014682
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,CHELLS WAY SURGERY,8708138,"34,967.50",,FSCFE47
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,8574068,"26,916.67",,52747967
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,CHURCH STREET SURGERY BISHOPS STORT,8693051,"30,555.00",,FSCHSMCF131
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,CHURCH STREET SURGERY BISHOPS STORT,8708176,"42,610.00",,FSCFE54
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,8708101,"30,957.50",,FSCFE41
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,DOLPHIN HOUSE SURGERY,8708061,"27,560.00",,FSCFE35
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8320284,"15,677,198.00",,4117384
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8494581,"40,754.00",,4117772
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,8574082,"1,337,151.51",,832724
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,8697209,"33,917.00",,832899
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,8574023,"71,315.17",,X0137611
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,8573989,"95,994.00",,3169584
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,HALL GROVE SURGERY,8693056,"31,344.00",,FSHGMCF121
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,HALL GROVE SURGERY,8708159,"38,842.50",,FSCFE51
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,URGENT CARE,HAVERSTOCK HEALTHCARE LTD,8574895,"50,242.00",,CHESHUNTMIU0715
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8432009,"2,959,623.76",,28012142
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8589381,"176,876.40",,28012208
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8589393,"98,000.00",,28012207
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8634755,"57,985.52",,28011877
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8634811,"117,114.81",,28011928
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,HERTFORDSHIRE COUNTY COUNCIL,8370490,"4,772,000.00",,1801727723
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,HERTFORDSHIRE COUNTY COUNCIL,8370490,"848,000.00",,1801727723
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,8370490,"326,000.00",,1801727723
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,HERTFORDSHIRE EYE HOSPITAL (THE),8781542,"35,630.00",,PB0215
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,HERTFORDSHIRE EYE HOSPITAL (THE),8781545,"29,402.20",,PB0315
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,HERTFORDSHIRE EYE HOSPITAL (THE),8781552,"27,364.00",,PB0415
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NHS 111,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,8573949,"70,338.00",654950120,416667
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Cont Care-Foundation Trust,CHC ADULT FULLY FUNDED,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,8713626,"48,290.58",654950120,416520
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Cont Care-Foundation Trust,CHC ADULT FULLY FUNDED,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,8713782,"-44,163.18",654950120,OPC003441
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HERTS URGENT CARE,8574111,"127,337.00",,2752
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,8574139,"95,527.80",,2749
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,8574158,"337,751.67",,2745
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,8479147,"75,575.00",654945990,H0119404
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Furniture & Fittings,NON RECURRENT PROGRAMMES,JPA FURNITURE,8402212,"24,511.87",,119831
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Voluntary Sector,HOSPICES,KEECH HOSPICE CARE,8554347,"163,428.00",,SIN002413
Department of Health,NHS East & North Hertfordshire CCG,31/07/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,KELLER P & PARTNERS,8708088,"30,290.00",,FSCFE39
