Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,Clinical&Medical-Independent Sector,Winter Resilience,12 POINT CARE LTD,9684535,"47,450.00",,12PC003
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9460842,"25,747.60",879108291,FSEN10010
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9678867,"-30,403.60",879108291,HT000019785
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9678868,"56,751.95",879108291,HT000019786
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9678868,"2,968.40",879108291,HT000019786
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,9534372,"54,545.85",,8421184
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9452615,"59,462.00",,74613
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,9452684,"27,706.00",,I0144504
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,Computer Maintenance,IM&T,BLUESOURCE INFORMATION LTD,9590497,"110,376.00",,17841
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,9670501,"83,140.43",,15150
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,9516618,"162,496.00",239731641,BUP1507EN
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,9684481,"-26,344.29",239731641,BUP089EN
Department of Health,NHS East & North Hertfordshire CCG,31/10/2015,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,9695541,"153,803.00",239731641,BUP1508ENA
Department of Health,NHS East & North Hertfordshire CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9387342,"915,166.67",,70014685
