Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,3C TECHNOLOGY LTD,11711573,"38,073.60",,211607
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,ANS GROUP PLC,11588581,"27,180.00",628731622,INV039754
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,ANS GROUP PLC,11588583,"30,000.00",628731622,INV039757
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,ANS GROUP PLC,11810249,"123,561.55",628731622,1002856
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,ANS GROUP PLC,11827416,"86,010.64",628731622,1002855
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,11922789,"-27,280.42",879108291,HT000022984
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,11922790,"57,235.30",879108291,HT000022985
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,11922790,"2,665.00",879108291,HT000022985
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11769684,"65,882.00",,78475
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,11769828,"27,706.00",,I0148163
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,11706436,"150,105.57",239731641,BUP1602EN
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11731463,"915,166.67",,70016897
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Clinical&Medical-Independent Sector,WINTER PRESSURES,CANTERBURY WAY SURGERY,11956747,"44,520.00",,SRAPR166
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,11770455,"26,916.66",654915415,52755448
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Computer Hardware Purch,IM&T PROJECTS,COMPUTACENTER (UK) LTD,11624003,"67,920.18",GB490334648,3880804103
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Computer Hardware Purch,IM&T,COMPUTACENTER (UK) LTD,11651504,"52,645.38",GB490334648,3880806054
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Computer Software/License,IM&T,COMPUTACENTER (UK) LTD,11651504,"5,899.32",GB490334648,3880806054
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,CRISTIE DATA LTD,11636710,"116,350.15",709428914,25971
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Other ICT Costs-IT Security Costs,IM&T PROJECTS,CSC COMPUTER SCIENCES LTD,11956492,"24,457.88",584686581,5278005374
