Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,Winter Resilience,12 POINT CARE LTD,15449354,"40,194.50",,12PCQ22WR
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Computer Hardware Purch,CORPORATE COSTS & SERVICES,3C TECHNOLOGY LTD,15525448,"65,005.20",,215339
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,15494130,"-29,676.71",879108291,HT000027190
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,15494131,"61,760.38",879108291,HT000027191
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,15494131,"2,368.80",879108291,HT000027191
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,15303385,"52,310.00",,8433790
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,15199778,"189,223.40",,275039
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,15526905,"192,320.23",,279858
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15261149,"65,882.00",,83577
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,15261539,"27,706.00",,I0152736
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,15234085,"35,770.08",,65901
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,15261504,"102,592.06",,65616
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,15261508,"95,444.77",,65617
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,15321126,"64,165.39",,15500
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,15459586,"63,661.41",,15535
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,15277059,"168,225.89",239731641,BUP1610EN
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15520768,"938,793.68",,70017355
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15526893,"40,897.78",,80185008
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,15303437,"30,986.92",654915415,S0001518
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,15494144,"26,633.66",,HT000027204
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,15494144,361.2,,HT000027204
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Bldg/Eng Equip Maint/Rep,ADMINISTRATION & BUSINESS SUPPORT,DART,15238087,"47,878.80",,376059
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Bldg/Eng Equip Maint/Rep,ADMINISTRATION & BUSINESS SUPPORT,DART,15310853,"39,543.60",,376061
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,Winter Resilience,DR N SELVADURAI,15199864,"48,537.00",,WINTERPRESS111601
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,Winter Resilience,DR N SELVADURAI,15459622,"44,408.00",,WINTERPRESS121602
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,15084297,"17,585,483.67",,4134915
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,15398812,"49,953.00",,4135250
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec NHS Trust-Non Contract,WINTER PRESSURES,EAST AND NORTH HERTFORDSHIRE NHS TRUST,15479995,"136,294.00",,4136085
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,15261544,"1,373,290.05",,8100937
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,15238089,"126,276.00",927149214,EMSINV012864
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,15238090,"106,884.00",927149214,EMSINV012863
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,15248102,"59,472.00",927149214,EMSINV012865
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,15459616,"59,472.00",927149214,EMINV004593
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,15464503,"110,052.00",927149214,EMINV004592
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,15464504,"106,884.00",927149214,EMINV004591
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,Winter Resilience,EPHEDRA HEALTHCARE LTD,15338109,"54,345.00",,EPHEDRAWP22016
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Cont Care- Adult 100% Fully Funded,CHC AD FULL FUND PERS HLTH BUD,ESSEX PASS,15365156,"-33,022.25",,12272C
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,Winter Resilience,GENERATING HEALTHCARE LTD,15277402,"44,740.75",,GH01NOV
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,15321145,"76,013.32",,X0164171
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,15321135,"116,825.00",654923417,3204043
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,HERTFORDSHIRE COMMUNITY NHS TRUST,15274000,"372,950.74",,28015349
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,15337819,"65,510.01",,28015937
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,15337823,"3,251,233.98",,28015921
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,HERTFORDSHIRE COUNTY COUNCIL,15110929,"6,542,838.00",,1801990452
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Clinical&Medical-Othe Public Sector,CARERS,HERTFORDSHIRE COUNTY COUNCIL,15052543,"24,167.00",,1801990445
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,15052543,"252,556.00",,1801990445
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Clinical&Medical-Othe Public Sector,LONG TERM CONDITIONS,HERTFORDSHIRE COUNTY COUNCIL,15052543,"1,463,583.00",,1801990445
Department of Health,NHS East & North Hertfordshire CCG,30/11/2016,Seconded-Basic Sal-Staff fm oth org,OPERATIONS MANAGEMENT,HERTFORDSHIRE COUNTY COUNCIL,15052543,"4,290.00",,1801990445
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Othe Public Sector,PROGRAMME PROJECTS,HERTFORDSHIRE COUNTY COUNCIL,15247699,"342,122.00",,1801980953
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,15337999,"196,417.00",,1802006334
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Othe Public Sector,NON RECURRENT PROGRAMMES,HERTFORDSHIRE COUNTY COUNCIL,15520729,"32,515.86",,1801996883
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,HERTFORDSHIRE EYE HOSPITAL (THE),15337930,"111,905.00",,HEHENHCCG1016
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HERTS URGENT CARE,15248144,"127,337.00",,3404
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,15248162,"369,501.52",,3402
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,15248184,"120,621.14",,3403
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,15202383,"77,031.00",654945990,H0138894
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,INSIGHT DIRECT (UK) LTD,15450789,"263,317.81",,4739508
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,INSIGHT DIRECT (UK) LTD,15465491,"123,843.30",,3178040
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,15494157,"42,524.90",,HT000027218
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,15494157,218.4,,HT000027218
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,NHS Payables <1Yr-Non PO Accruals,BALANCE SHEET,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,15261297,"29,851.00",,241093
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,C&M-GMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,LEA VALLEY HEALTH LTD,15303364,"28,605.00",,16
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Independent Sector,Winter Resilience,LEA VALLEY HEALTH LTD,15449323,"40,026.00",,17
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,15231935,"56,311.63",654463720,A0026308
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,15234093,"97,266.50",,52976460
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,MARIE STOPES INTERNATIONAL,15338085,"26,872.46",882426016,MS162410
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,MID ESSEX HOSPITALS SERVICES NHS TRUST,15234399,"129,217.00",,ME2000097883
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Social Care-ICES,COMMUNITY SERVICES,MILLBROOK HEALTHCARE LTD,15337948,"50,404.48",GB675991080,11637
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Social Care-ICES,COMMUNITY SERVICES,MILLBROOK HEALTHCARE LTD,15337955,"48,303.47",GB675991080,11639
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,15321131,"311,450.00",,IC0028709
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,15494165,"-56,891.66",876631000,HT000027227
Department of Health,NHS East & North Hertfordshire CCG,31/12/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,15494166,"117,413.11",876631000,HT000027228
