Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Clinical&Medical-Independent Sector,Winter Resilience,12 POINT CARE LTD,16143337,"37,253.00",,12PC024WR
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Computer Maintenance,ADHOC BUSINESS,ACCENTURE (UK) LTD,16229674,"151,200.00",GB788629066,3003347329
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,16198090,"26,881.68",879108291,FSEN0217001
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,16238253,"-29,746.50",879108291,HT000028234
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,16238254,"57,237.10",879108291,HT000028235
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,16238254,"3,150.00",879108291,HT000028235
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,16060523,"52,310.00",,8435465
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,16109325,"372,958.13",,284155
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15988538,"65,882.00",,84780
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,15948313,"27,706.00",,I0153925
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,16198808,"57,922.35",,68080
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,16257444,"41,289.46",,68968
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,16257221,"168,790.69",239731641,BUP1701EN
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16181356,"938,793.68",,70017357
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Clinical&Medical-Independent Sector,WINTER PRESSURES,CANTERBURY WAY SURGERY,16241856,"41,204.00",,WINTERPRESS021704
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Computer Hardware Purch,SERVICE TRANSFORMATION PROJECTS - (A),CDW,14968033,"62,838.50",GB902194939,PSINV01754674
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Computer Software/License,IT NETWORK & TELECOMS,CDW,14968033,"1,060.00",GB902194939,PSINV01754674
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Computer Software/License,SERVICE TRANSFORMATION PROJECTS - (A),CDW,14968033,-156,GB902194939,PSINV01754674
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,16060490,"30,986.93",654915415,N0009198
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Bldg/Eng Equip Maint/Rep,ADMINISTRATION & BUSINESS SUPPORT,DART,16227885,"40,153.43",,376067
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Bldg/Eng Equip Maint/Rep,ADMINISTRATION & BUSINESS SUPPORT,DART,16261143,"61,198.80",,376072
