Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/01/2017,Clinical&Medical-Independent Sector,Winter Resilience,12 POINT CARE LTD,15751624,"33,580.03",,12PC023WR
Department of Health,NHS East & North Hertfordshire CCG,31/01/2017,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,15745331,"25,963.28",879108291,FSEN0117001
Department of Health,NHS East & North Hertfordshire CCG,31/01/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,15868660,"-31,690.71",879108291,HT000027716
Department of Health,NHS East & North Hertfordshire CCG,31/01/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,15868661,"58,992.18",879108291,HT000027717
Department of Health,NHS East & North Hertfordshire CCG,31/01/2017,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,15868661,"3,116.40",879108291,HT000027717
Department of Health,NHS East & North Hertfordshire CCG,31/01/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,15638799,"52,310.00",,8434639
Department of Health,NHS East & North Hertfordshire CCG,31/01/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,15676309,"192,320.23",,277971
Department of Health,NHS East & North Hertfordshire CCG,31/01/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15638275,"65,882.00",,84219
Department of Health,NHS East & North Hertfordshire CCG,31/01/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,15630268,"27,706.00",,I0153041
Department of Health,NHS East & North Hertfordshire CCG,01/01/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,15582281,"102,592.06",,67551
Department of Health,NHS East & North Hertfordshire CCG,01/01/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,15582286,"95,444.77",,67552
