Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/03/2016,Clinical&Medical-Independent Sector,Winter Resilience,12 POINT CARE LTD,11160442,"47,450.00",,12PC009
Department of Health,NHS East & North Hertfordshire CCG,31/03/2016,Clinical&Medical-Independent Sector,Winter Resilience,12 POINT CARE LTD,11275379,"47,450.00",,12PC011
Department of Health,NHS East & North Hertfordshire CCG,31/03/2016,Clinical&Medical-Independent Sector,Winter Resilience,12 POINT CARE LTD,11527361,"47,450.00",,12PC013
Department of Health,NHS East & North Hertfordshire CCG,31/03/2016,Computer Software/License,NON RECURRENT PROGRAMMES,APOLLO MEDICAL SOFTWARE SOLUTIONS LTD,11255083,"27,900.00",125483810,646
Department of Health,NHS East & North Hertfordshire CCG,31/03/2016,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,11487078,"29,734.98",879108291,FSEN03160020
Department of Health,NHS East & North Hertfordshire CCG,31/03/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,11534125,"-31,043.52",879108291,HT000022476
Department of Health,NHS East & North Hertfordshire CCG,31/03/2016,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,11534126,"2,599.40",879108291,HT000022477
Department of Health,NHS East & North Hertfordshire CCG,31/03/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,11534126,"52,970.81",879108291,HT000022477
Department of Health,NHS East & North Hertfordshire CCG,31/03/2016,Hcare Srv Rec NHS Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,11175721,618.03,,8423784
Department of Health,NHS East & North Hertfordshire CCG,31/03/2016,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,11175721,"95,262.89",,8423784
