Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/09/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9353407,"-34,678.00",,HT000019250
Department of Health,NHS East & North Hertfordshire CCG,30/09/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9353408,"63,320.98",,HT000019251
Department of Health,NHS East & North Hertfordshire CCG,30/09/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,9353408,"2,878.20",,HT000019251
Department of Health,NHS East & North Hertfordshire CCG,30/09/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,9278566,"29,272.22",,8419450
Department of Health,NHS East & North Hertfordshire CCG,30/09/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,9081784,"199,244.81",,230949
Department of Health,NHS East & North Hertfordshire CCG,30/09/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,9185856,"315,437.99",,234045
Department of Health,NHS East & North Hertfordshire CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9168119,"59,462.00",,73951
Department of Health,NHS East & North Hertfordshire CCG,30/09/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,9097630,"27,706.00",,I0143961
Department of Health,NHS East & North Hertfordshire CCG,30/09/2015,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,9391531,"58,771.85",,15120
Department of Health,NHS East & North Hertfordshire CCG,31/08/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8987862,"915,166.67",,70014684
Department of Health,NHS East & North Hertfordshire CCG,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,9198046,"26,916.66",,52749133
