Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,21881680,"80,458.07",,HT000035205
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,21881680,"8,946.09",,HT000035205
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,21881680,"2,310.15",,HT000035205
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,21881680,"1,110.00",,HT000035205
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,21881680,832.13,,HT000035205
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,21881680,385.85,,HT000035205
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS LES Equitable Funding,LOCAL ENHANCED SERVICES,ARCHIVE MANAGEMENT SYSTEMS LTD,21711968,"109,071.84",292556040,137117
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,21881677,"57,294.06",879108291,HT000035201
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,21910029,"53,368.15",879108291,HT000035543
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,21910029,"8,983.30",879108291,HT000035543
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,21881677,"7,747.50",879108291,HT000035201
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,21881677,"4,794.77",879108291,HT000035201
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,21881677,"3,816.63",879108291,HT000035201
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,21881677,"2,715.24",879108291,HT000035201
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,21910029,"2,390.80",879108291,HT000035543
Department of Health,NHS East & North Hertfordshire CCG,30/04/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,21881677,"1,150.80",879108291,HT000035201
