Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,ANS GROUP PLC,13676216,"39,631.68",628731622,INV039855
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,13911833,"58,266.92",879108291,FSEN0816001
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,13999381,"-31,153.50",879108291,HT000025211
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,13999382,"52,194.95",879108291,HT000025212
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,13999382,"2,755.20",879108291,HT000025212
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,13707235,"52,310.00",,8430445
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,13776371,"179,879.02",,263172
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13792675,"65,882.00",,80952
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,13792703,"27,706.00",,I0150180
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,13744276,"95,454.52",,61371
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,13989673,"102,775.85",,61370
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,13647169,"165,899.64",239731641,BUP1605EN
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Cont Care-FNC Client Continence Allow,FUNDED NURSING CARE,BUPA CARE HOMES,13990387,"1,219.78",239731641,STC048489TOSTC048549
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BUPA CARE HOMES,13990387,"28,029.22",239731641,STC048489TOSTC048549
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13990784,"938,793.68",,70017351
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14015378,"128,690.13",,80172364
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14015393,"-120,838.84",,60024243
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14015561,"-42,825.27",,60024856
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,13707252,"26,916.66",654915415,S0000273
Department of Health,NHS East & North Hertfordshire CCG,31/08/2016,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,13669782,"57,300.89",,4131173
Department of Health,NHS East & North Hertfordshire CCG,31/07/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,13565839,"17,585,483.67",,4130545
