Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,20219088,"-28,537.66",879108291,HT000033471
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,20219089,"65,816.56",879108291,HT000033472
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,20219089,"2,356.40",879108291,HT000033472
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,19933132,"78,541.00",,8444538
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,20099694,"188,281.24",,314252
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,20099696,"156,902.71",,317071
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,19933124,"45,853.00",,91433
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Devolved Admin'n,NCAS/OATS,BELFAST HEALTH & SOCIAL CARE TRUST,20226177,"40,069.00",GB868808059,A0064308
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,19905752,"37,711.05",,82483
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,19914996,"32,298.37",,81264
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20029685,"91,874.89",,82242
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20029686,"107,041.57",,82194
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,20113240,"67,330.00",,16026
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,20226146,"52,875.15",,16001
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Cont Care-FNC Client Continence Allow,FUNDED NURSING CARE,BUPA CARE HOMES,20147937,"1,601.05",239731641,STC053624TOSTC053710
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BUPA CARE HOMES,20147937,"56,023.60",239731641,STC053624TOSTC053710
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,20206169,"169,840.68",239731641,BUP1711EN
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,19933087,"399,434.37",,70020427
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20077019,"-71,503.10",,60027666
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20206232,"951,933.82",,70019610
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,20219102,"29,311.97",,HT000033485
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,20219102,533.2,,HT000033485
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,19905679,"19,037,935.00",,4146952
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,19905711,"63,795.00",,4147096
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,19905940,"61,115.00",,4147609
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,19905942,"-3,500,000.00",,4147632
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,PREPYMT OVERSEAS NON EEA PATIENTS,BALANCE SHEET,EAST AND NORTH HERTFORDSHIRE NHS TRUST,19978239,"33,214.00",,4147684
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20147976,"71,888.00",,4147992
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20206203,"29,800.78",,4148003
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20226279,"-451,057.00",,4148176
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,19933122,"1,522,972.40",,8106533
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,COMMUNITY SERVICES,ESSEX PARTNERSHIP UNIVERSITY NHS FT,19989958,"38,322.33",GB654974100,I0058153
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Independent Sector,Winter Resilience,GENERATING HEALTHCARE LTD,19964391,"28,139.00",,GH10OCT
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Independent Sector,Winter Resilience,GENERATING HEALTHCARE LTD,20206268,"36,433.20",,GH02NOV17IO
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,19933097,"60,383.08",,X0184441
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,19933084,"130,770.00",654923417,3228040
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Independent Sector,PROGRAMME PROJECTS,HCPA LTD,19905689,"35,965.00",,4444
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,19918794,"47,384.26",654 4402 89,28018237
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec NHS Trust-Contract Variation,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,20029707,"3,321,017.24",654 4402 89,28018224
Department of Health,NHS East & North Hertfordshire CCG,30/11/2017,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,19868134,"6,997,558.00",,1802193266
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Cont Care- Children,CHC CHILDREN,HERTFORDSHIRE COUNTY COUNCIL,19914990,"462,798.79",,1802184556
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Othe Public Sector,CARERS,HERTFORDSHIRE COUNTY COUNCIL,19918788,"24,167.00",,1802193269
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,19918788,"203,187.00",,1802193269
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Othe Public Sector,LONG TERM CONDITIONS,HERTFORDSHIRE COUNTY COUNCIL,19918788,"1,137,071.00",,1802193269
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,19918788,"41,293.00",,1802193269
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Seconded-Basic Sal-Staff fm oth org,OPERATIONS MANAGEMENT,HERTFORDSHIRE COUNTY COUNCIL,19918788,-42,,1802193269
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,19918791,"60,000.00",,1802202347
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Othe Public Sector,PROGRAMME PROJECTS,HERTFORDSHIRE COUNTY COUNCIL,19933075,"189,730.00",,1802183772
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HERTS URGENT CARE,20029736,"824,321.50",210815253,4039
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,20206063,"97,533.14",210815253,3973
