Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,21040110,"-27,159.40",879108291,HT000034461
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,21040111,"54,235.32",879108291,HT000034462
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,21040111,"2,657.40",879108291,HT000034462
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,20737228,"78,541.00",,8446087
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,21098020,"214,041.12",,324587
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20725800,"45,853.00",,93029
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20888188,"91,874.89",,85552
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20888194,"107,041.57",,85551
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20911214,"91,408.74",,84639
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Telecoms-Data lines,ADHOC BUSINESS,BT GLOBAL SERVICES,21068859,"24,240.29",245719348,790238533
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Telecoms-Data lines,PRIMARY CARE IT,BT GLOBAL SERVICES,21068859,"3,555.49",245719348,790238533
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,20939150,"33,230.01",239731641,BUP1801EN
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20723227,"399,434.37",,70020429
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,21069373,"951,933.82",,70019612
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,20815165,"31,428.57",594959072,KNEBW000214
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Computer Software/License,IT MANAGEMENT TEAM,COMPAREX UK LTD,21089539,"222,959.90",330883754,170009556VRUKA
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,DOLPHIN HOUSE SURGERY,20762390,"25,999.98",,98JANUARY2018
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Miscellaneous Expenditure (L9),LOCAL ENHANCED SERVICES,DOLPHIN HOUSE SURGERY,20979145,"38,454.00",,95JAN18
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Cont Care- Prior Year Payments,REABLEMENT,DOVECOTE CARE HOMES LTD,20979213,"41,367.86",,DEC201710
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,DOVECOTE CARE HOMES LTD,20979215,"38,303.57",,DEC201711
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20705303,"19,037,935.00",,4149545
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20725761,"-2,000,000.00",,4149575
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20795889,"37,247.00",,4149674
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20911279,"164,606.00",,4149755
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,21098102,"-2,000,000.00",,4150639
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,21098104,"838,823.00",,4150644
Department of Health,NHS East & North Hertfordshire CCG,28/02/2018,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,20772422,"1,522,972.40",,8107501
