Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,25933260,"-66,675.46",,HT000039896
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,25933262,"108,250.11",,HT000039897
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,25933262,"22,100.00",,HT000039897
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,25933262,810.28,,HT000039897
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,25933262,"3,312.79",,HT000039897
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,25965773,"34,292.72",,12PCEASAPM05
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26114864,"83,361.02",,HT000039910
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26114864,"2,310.15",,HT000039910
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26114864,"2,550.00",,HT000039910
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26114864,"8,946.15",,HT000039910
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26134984,"57,198.22",879108291,HT000039906
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26134984,"1,150.80",879108291,HT000039906
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26134984,"7,747.50",879108291,HT000039906
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26134984,68.84,879108291,HT000039906
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26134984,"4,794.78",879108291,HT000039906
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26134984,"6,114.17",879108291,HT000039906
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26134984,"6,063.57",879108291,HT000039906
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,26142987,"-27,527.46",879108291,HT000040131
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,26142988,"58,546.19",879108291,HT000040132
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26142988,"11,944.42",879108291,HT000040132
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,26114940,"118,073.35",,HT000040001
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,26114940,239.37,,HT000040001
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,26114940,"60,927.50",,HT000040001
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,26114940,"11,393.36",,HT000040001
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,26143042,"25,766.85",,HT000040189
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,26143042,"4,303.04",,HT000040189
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,26143042,880,,HT000040189
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,25965036,"100,483.00",654924414,8454431
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,25854534,"44,979.55",654947005,345229
