Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,C&M-GMS LES Equitable Funding,LOCAL ENHANCED SERVICES,12 POINT CARE LTD,20612906,"38,747.00",,12PCBUSMANGR01
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,20650137,"-32,830.14",879108291,HT000033963
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,20650138,"55,928.95",879108291,HT000033964
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,20650138,"3,259.40",879108291,HT000033964
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Miscellaneous Expenditure (L9),REABLEMENT,AT TRAINING SERVICES LTD T/A AT LEARNING,20449031,"34,181.52",250397995,EZDOC0317
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Training Expenses,GP FORWARD VIEW,AT TRAINING SERVICES LTD T/A AT LEARNING,20449031,"30,499.38",250397995,EZDOC0317
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,20319535,"78,541.00",,8445247
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,20449026,"209,604.10",,320060
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20302743,"45,853.00",,92273
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20356210,"107,041.57",,83373
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20356218,"91,874.89",,83429
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20466238,"103,584.29",,83735
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20637775,"62,819.80",,82484
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,20637792,"67,620.61",,83736
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,20613064,"35,527.53",239731641,BUP1712EN
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20302717,"399,434.37",,70020428
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20443222,"142,175.08",,80200153
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20638042,"951,933.82",,70019611
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20147956,"19,037,935.00",,4147909
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20442787,"58,577.00",,4148145
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20573913,"28,848.41",,4148875
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20705294,"59,336.00",,4149515
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,20334751,"1,522,972.40",,8106912
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec NHS Trust-Non Contract,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,20610670,"70,666.70",,8105599
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,20420185,"61,315.63",927149214,EMINV009285
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,20449027,"105,446.56",927149214,EMINV009286
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,20449029,"110,197.40",927149214,EMINV009284
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Clinical&Medical-Independent Sector,Winter Resilience,EPHEDRA HEALTHCARE LTD,20411610,"26,028.00",,WPDEC2017NHSE
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,COMMUNITY SERVICES,ESSEX PARTNERSHIP UNIVERSITY NHS FT,20382630,"38,322.33",GB654974100,I0058864
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,GARDEN HOUSE HOSPICE,20654242,"32,000.00",,830
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Clinical&Medical-Independent Sector,Winter Resilience,GENERATING HEALTHCARE LTD,20466463,"25,951.20",,GH03DEC17IO
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,20319526,"60,383.08",654922910,X0186073
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,20356151,"130,770.00",654923417,3229826
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Clinical&Medical-Independent Sector,URGENT CARE,HAVERSTOCK HEALTHCARE LTD,20613135,"53,737.00",215028936,CHESHUNTMIU0118
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,20442857,"3,242,258.00",654 4402 89,H0000081
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,HERTFORDSHIRE COMMUNITY NHS TRUST,20507283,"139,728.23",654 4402 89,28018196
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,20654141,"64,845.16",654 4402 89,H0000082
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,20183336,"196,613.00",,1802220695
Department of Health,NHS East & North Hertfordshire CCG,31/12/2017,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - COLLABORATIVE COMMISSIONING,HERTFORDSHIRE COUNTY COUNCIL,20183336,"6,800,945.00",,1802220695
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Clinical&Medical-Othe Public Sector,CARERS,HERTFORDSHIRE COUNTY COUNCIL,20382564,"24,167.00",,1802220698
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,20382564,"203,187.00",,1802220698
Department of Health,NHS East & North Hertfordshire CCG,31/01/2018,Clinical&Medical-Othe Public Sector,LONG TERM CONDITIONS,HERTFORDSHIRE COUNTY COUNCIL,20382564,"1,137,071.00",,1802220698
