Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,17749053,"32,862.53",879108291,FSEN0617056
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,17815814,"-27,418.44",879108291,HT000030436
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,17815815,"61,258.46",879108291,HT000030437
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,17815815,"2,175.80",879108291,HT000030437
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,17664067,"78,542.00",,8439580
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,17664076,"78,542.00",,8439582
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,17723684,"78,542.00",,8439581
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,17528217,"220,925.69",,287804
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,17528218,"334,156.15",,293360
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,17826906,"185,714.39",,297367
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,17522726,"46,519.00",,87830
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,17522551,"47,782.59",,72827
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,17522554,"70,851.37",,72826
Department of Health,NHS East & North Hertfordshire CCG,30/06/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,17553327,"107,041.57",,73950
