Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Clinical&Medical-Independent Sector,Winter Resilience,12 POINT CARE LTD,16496714,"29,679.49",,12PC026WR
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,16513442,"34,921.60",879108291,FSEN0317005
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,16662898,"-27,908.90",879108291,HT000028766
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,16662899,"53,256.28",879108291,HT000028767
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,16662899,"2,150.40",879108291,HT000028767
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,16355158,"60,027.00",,8436206
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,16429806,"78,288.00",,8436063
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,16430191,"-78,287.84",,8436377
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,16359095,"223,062.15",,282000
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,16735649,"-192,320.23",,282190
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16461367,"65,882.00",,85948
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,16377798,"27,706.00",,I0154620
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,16352776,"37,957.46",,68081
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,16355041,"95,444.77",,69745
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,16355043,"102,592.07",,69744
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,16670437,"105,823.60",,70123
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,16670454,"89,815.28",,70124
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,16430212,"151,922.78",239731641,BUP1702EN
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16430282,"-107,503.61",,60026093
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16706770,"951,933.82",,70019601
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,CENTRAL BEDFORDSHIRE COUNCIL,16555870,"99,264.55",,7010266957
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,CENTRAL BEDFORDSHIRE COUNCIL,16555882,"-99,750.95",,7040018289
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,16355212,"30,986.92",654915415,N0010251
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Clinical&Medical-Independent Sector,Winter Resilience,DR N SELVADURAI,16496657,"43,228.00",,WINTERPRESS031705
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,16143345,"13,005,802.98",,4138083
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,16143345,"7,324,001.02",,4138083
Department of Health,NHS East & North Hertfordshire CCG,28/02/2017,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,16143345,"-2,251,388.00",,4138083
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,PREPYMT OVERSEAS NON EEA PATIENTS,BALANCE SHEET,EAST AND NORTH HERTFORDSHIRE NHS TRUST,16304563,"26,157.45",,4137731
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,16355064,"57,835.00",,4138451
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,PREPYMT OVERSEAS NON EEA PATIENTS,BALANCE SHEET,EAST AND NORTH HERTFORDSHIRE NHS TRUST,16355232,"26,841.00",,4138679
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,16364933,"381,817.00",,4138686
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust-Non Contract,WINTER PRESSURES,EAST AND NORTH HERTFORDSHIRE NHS TRUST,16517390,"800,000.00",,4138781
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust-Non Contract,WINTER PRESSURES,EAST AND NORTH HERTFORDSHIRE NHS TRUST,16517392,"67,000.00",,4138783
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST AND NORTH HERTFORDSHIRE NHS TRUST,16532166,"37,840.00",,4138967
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,16670209,"57,507.00",,4139201
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,16332175,"1,373,290.05",,8102107
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,16531985,"35,500.99",,8100824
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,16532003,"35,500.99",,8100825
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,16532049,"35,500.99",,8101937
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,16532319,"101,910.00",,8102411
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,16555737,"106,502.97",,8101530
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,16624589,"35,500.99",,8102498
Department of Health,NHS East & North Hertfordshire CCG,31/03/2017,Clinical&Medical-Independent Sector,Winter Resilience,EPHEDRA HEALTHCARE LTD,16496359,"33,252.00",,EPHEDRAWP62017
