Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-APMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,26217014,"100,000.00",,FSEN0219113,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,26356385,"-66,569.57",,HT000040257,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,26356385,-564.19,,HT000040257,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,26356385,-64.11,,HT000040257,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,26356386,"108,250.11",,HT000040258,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-APMS PCO Other,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,26356386,"1,867.00",,HT000040258,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,26356386,"3,312.79",,HT000040258,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,26394901,"37,966.94",,12PCEASAPM06,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26593394,840,,HT000040280,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26593394,"83,361.02",,HT000040280,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26593394,"2,310.15",,HT000040280,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26593394,"4,600.81",,HT000040280,,
