Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,ANS GROUP PLC,12120573,"39,631.68",628731622,INV039855
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,12629062,"-31,200.12",879108291,HT000023519
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,12629063,"2,361.60",879108291,HT000023520
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,12629063,"54,655.75",879108291,HT000023520
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Hcare Srv Rec NHS Trust-Prior Year,COMMUNITY SERVICES,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,11975799,"42,734.00",,41423149
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,12495228,"192,894.02",,257586
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12023846,"65,882.00",,79087
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12310119,"49,116.00",,76222
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,12024031,"27,706.00",,I0148516
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,12378325,"81,393.15",,56095
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,12549431,"114,276.06",,56096
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,12086431,"64,781.41",,15308
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,12686921,"77,562.44",,15350
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BRIGHTERKIND,12138238,"7,407.15",,HIF19499
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,BRIGHTERKIND,12138238,"17,850.01",,HIF19499
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,12658696,"160,273.00",239731641,BUP1603EN
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12087029,"915,166.67",,70017152
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12493550,"949,500.00",,70017348
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12493562,"68,666.66",,70017617
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,12086869,"26,916.66",654915415,52756054
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Computer Hardware Purch,IM&T PROJECTS,COMPUTACENTER (UK) LTD,11624003,"56,600.15",GB490334648,3880804103
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Other Travel Costs - Car Parking,RECHARGES,CP PLUS LTD,12138124,"3,910.08",,2133104
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Other Travel Costs - Car Parking,MEDICINES MANAGEMENT,CP PLUS LTD,12138124,"2,324.16",,2133104
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Other Travel Costs - Car Parking,IM&T,CP PLUS LTD,12138124,"14,564.18",,2133104
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Other Travel Costs - Car Parking,CORPORATE COSTS & SERVICES,CP PLUS LTD,12138124,"18,625.74",,2133104
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Other Travel Costs - Car Parking,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,CP PLUS LTD,12138124,"4,615.86",,2133104
Department of Health,NHS East & North Hertfordshire CCG,30/04/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,11912400,"16,003,575.00",,4127886
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,12024491,"40,340.00",,4128561
