Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,24669183,"-64,696.86",,HT000038520
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,24669184,"110,126.06",,HT000038521
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,24669184,"22,100.00",,HT000038521
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,24669184,810.28,,HT000038521
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,24669184,"3,312.79",,HT000038521
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-APMS LES Extended Hours,GP FORWARD VIEW,12 POINT CARE LTD,24727425,"36,742.20",,12PCEASAPM02
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24905116,"1,260.00",,HT000038543
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24905116,"82,567.34",,HT000038543
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24905116,"2,310.15",,HT000038543
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24905116,"6,103.04",,HT000038543
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24905116,"8,381.00",,HT000038543
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24905116,"8,946.15",,HT000038543
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,24895127,"28,576.24",879108291,FSEN1118002
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24905112,140,879108291,HT000038539
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24905112,"1,532.87",879108291,HT000038539
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24905112,"57,275.71",879108291,HT000038539
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24905112,"1,150.80",879108291,HT000038539
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24905112,"7,747.50",879108291,HT000038539
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24905112,"1,708.41",879108291,HT000038539
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24905112,44.09,879108291,HT000038539
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24905112,"4,794.78",879108291,HT000038539
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,24930017,"-23,591.50",879108291,HT000038851
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24930017,"-1,795.20",879108291,HT000038851
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,24930018,"55,890.30",879108291,HT000038852
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24930018,"9,729.22",879108291,HT000038852
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,24930018,"1,795.20",879108291,HT000038852
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,24741210,"70,128.32",,FSEN1118001
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,24905196,"1,960.00",,HT000038634
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,24905196,"122,628.50",,HT000038634
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,24905196,239.37,,HT000038634
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,24905196,"60,927.50",,HT000038634
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,24905196,"6,655.50",,HT000038634
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,24905196,"11,393.36",,HT000038634
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,24930072,"28,839.34",,HT000038910
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,24930072,"4,755.50",,HT000038910
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,24930072,"3,915.95",,HT000038910
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,24930072,593.4,,HT000038910
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,24930072,862.4,,HT000038910
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,24594963,"100,483.00",654924414,8452979
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,24857632,"228,260.81",654947005,353979
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,24611328,"43,245.00",GB 654911917,99126
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,24611204,"28,628.29",654912424,I0167340
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,24905114,"1,680.00",,HT000038541
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,24905114,"87,337.86",,HT000038541
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,24905114,"3,229.17",,HT000038541
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,24905114,"2,042.89",,HT000038541
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,24905114,"8,462.17",,HT000038541
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,24905117,"-10,763.78",,HT000038544
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,24905117,-224.16,,HT000038544
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,24905117,"-6,110.98",,HT000038544
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,24905117,"-6,643.90",,HT000038544
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,24905117,"-9,365.24",,HT000038544
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,24930983,"2,100.00",,HT000038545
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,24930983,"92,803.22",,HT000038545
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,24930983,"8,874.72",,HT000038545
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,24930983,"26,550.00",,HT000038545
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,24930983,"11,829.52",,HT000038545
Department of Health,NHS East & North Hertfordshire CCG,30/11/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,24930983,"11,389.28",,HT000038545
