Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,24209149,"-64,696.86",,HT000038076
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,24209150,"106,374.16",,HT000038077
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,24209150,810.28,,HT000038077
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,24209150,"3,312.79",,HT000038077
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-APMS LES Extended Hours,GP FORWARD VIEW,12 POINT CARE LTD,24227066,"37,966.94",,12PCEASAPM01
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,ALLIANCE MEDICAL LTD,24267507,"37,200.00",GB 523318667,AML106255
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24449997,175.18,,HT000038098
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24449997,"88,285.68",,HT000038098
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24449997,"2,310.15",,HT000038098
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24449997,"7,006.80",,HT000038098
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24449997,"8,381.00",,HT000038098
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24449997,"8,946.15",,HT000038098
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,Computer Software/License,PRIMARY CARE IT,ARDENS HEALTH INFORMATICS LTD,24226840,"40,576.34",193674175,56
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,24367890,"32,660.34",879108291,FSEN1018017
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24449993,"3,777.20",879108291,HT000038094
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24449993,613.08,879108291,HT000038094
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24449993,"61,313.05",879108291,HT000038094
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24449993,"1,150.80",879108291,HT000038094
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24449993,"7,747.50",879108291,HT000038094
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24449993,"1,708.41",879108291,HT000038094
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24449993,"4,794.78",879108291,HT000038094
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24449993,"1,575.43",879108291,HT000038094
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24449993,"1,939.62",879108291,HT000038094
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,24472000,"-30,356.02",879108291,HT000038397
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24472000,"-2,666.40",879108291,HT000038397
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,24472001,"51,795.81",879108291,HT000038398
Department of Health,NHS East & North Hertfordshire CCG,31/10/2018,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24472001,"11,680.11",879108291,HT000038398
