Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,23817502,"111,515.16",,HT000037592
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,23817502,"4,051.38",,HT000037592
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,23817502,"3,312.79",,HT000037592
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,23842985,"-64,701.01",,HT000037591
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-APMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,23842985,"-9,938.35",,HT000037591
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,23842985,-568.04,,HT000037591
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,23842985,-64.55,,HT000037591
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,ME - APMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,23842985,"-5,072.14",,HT000037591
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,ME-APMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,23842985,"-3,672.84",,HT000037591
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,ALLIANCE MEDICAL LTD,24024177,"34,500.00",GB 523318667,AML104423
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24012862,"80,681.92",,HT000037616
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24012862,"2,310.15",,HT000037616
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24012862,"5,251.56",,HT000037616
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24012862,"4,570.05",,HT000037616
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24012862,"46,542.00",,HT000037616
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24012862,"107,844.74",,HT000037616
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24012862,208.43,,HT000037616
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,24012862,"8,946.15",,HT000037616
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,24007048,"33,568.62",879108291,FSEN0918001
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24012858,"57,087.83",879108291,HT000037612
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24012858,"1,150.80",879108291,HT000037612
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24012858,"1,639.15",879108291,HT000037612
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24012858,"7,747.50",879108291,HT000037612
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24012858,"1,708.41",879108291,HT000037612
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24012858,"4,794.78",879108291,HT000037612
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24012858,161.62,879108291,HT000037612
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24012858,39.14,879108291,HT000037612
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,24039983,"-27,466.20",879108291,HT000037952
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24039983,"-2,411.20",879108291,HT000037952
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,24039984,"53,615.76",879108291,HT000037953
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,24039984,"10,036.81",879108291,HT000037953
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,24039984,"2,411.20",879108291,HT000037953
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,23779268,"100,483.00",,8451820
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,24049647,"206,427.84",,347721
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,23740067,"43,245.00",,97764
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,23724241,"28,628.29",,I0165871
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),24083058,"65,942.80",,105524-25-SEP-2018
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),24083058,"7,493.52",,105524-25-SEP-2018
Department of Health,NHS East & North Hertfordshire CCG,30/09/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,24012860,"86,050.06",,HT000037614
