Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,7715058,"-30,228.10",,HT000016432
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,7715059,"55,741.98",,HT000016433
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,7715059,"2,962.40",,HT000016433
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,7514472,"168,450.51",,220627
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7514524,"59,462.00",,71275
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,7514583,"28,404.88",,I0141363
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,7715066,"-25,017.60",,HT000016440
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,7715067,"49,596.72",,HT000016441
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,7715067,"1,851.50",,HT000016441
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7532986,"854,197.05",,70011849
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,7532197,"25,226.00",,52746295
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Health Promotion,NON RECURRENT PROGRAMMES,DIABETES UK,7477670,"31,290.95",232380196,32104
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,C&M-GMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,DOLPHIN HOUSE SURGERY,7706475,"8,170.50",,HT000016091
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,C&M-GMS LES Care Home/Nursing Home,LOCAL ENHANCED SERVICES,DOLPHIN HOUSE SURGERY,7706475,"10,344.08",,HT000016091
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,DOLPHIN HOUSE SURGERY,7706475,"5,572.18",,HT000016091
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,C&M-GMS NES Near Patient Testing,LOCAL ENHANCED SERVICES,DOLPHIN HOUSE SURGERY,7706475,"4,917.94",,HT000016091
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,7380613,"15,353,432.00",,4115315
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,7549980,"40,749.50",,4115686
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,7549335,"30,787.95",,831389
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust-Over/ Under Performance,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,7549341,"-321,661.00",,831364
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,7549390,"1,248,556.00",,831566
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust-Over/ Under Performance,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,7549806,"220,593.00",,831584
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,7549986,"32,007.00",,831621
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,7549994,"169,377.09",,831600
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,7676599,"33,917.00",,831685
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Clinical&Medical-Independent Sector,Winter Resilience,EPHEDRA HEALTHCARE LTD,7615467,"46,980.00",,01032015WPP
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Clinical&Medical-Voluntary Sector,HOSPICES,GARDEN HOUSE HOSPICE,7532058,"1,144,924.00",,2015470
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Clinical&Medical-Voluntary Sector,HOSPICES,GARDEN HOUSE HOSPICE,7532979,"-26,026.00",,2015485
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,7532081,"62,281.50",,X0132853
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,7532076,"95,995.00",,3163961
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,7406162,"216,724.08",,28011399
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,7460351,"78,000.00",,28011301
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,7531949,"2,570,802.42",,28011413
