Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,8399325,"-28,276.72",,HT000017623
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,8399327,"59,401.59",,HT000017624
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,8399327,"2,303.00",,HT000017624
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,8258279,"149,179.62",,226427
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8192782,"59,462.00",,71424
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,8193120,"27,706.00",,I0142288
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,8209442,"113,217.21",,40706
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,8370260,"76,866.20",,14969
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8135157,"854,197.05",,70014681
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Miscellaneous Expenditure (L9),COMMISSIONING SCHEMES,CANTERBURY WAY SURGERY,8292541,"64,463.00",,CWSCAREHOMES5151
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,8193360,"26,916.67",,52747107
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Telecoms-Phone Instal & Maint,NON RECURRENT PROGRAMMES,DIMENSION DATA COMMUNICATIONS UK LTD,8178690,"22,227.00",,1800001306
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,External Contractors,NON RECURRENT PROGRAMMES,DIMENSION DATA COMMUNICATIONS UK LTD,8233076,"23,850.00",,1800001157
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8121310,"15,677,198.00",,4116704
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8193351,"40,754.00",,4116943
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8402593,"1,629,277.00",,4117535
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,8238680,"1,337,151.51",,832259
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,8438760,"33,917.00",,832420
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,External Consultancy Fees,IM&T,FOCUS GROUP EUROPE LTD,8199883,"29,416.50",,FCS1602
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,8193216,"71,315.17",,X0136711
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,8192810,"83,550.00",,3165881
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,8193504,"83,550.00",,3167888
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,URGENT CARE,HAVERSTOCK HEALTHCARE LTD,8175507,"50,242.00",,CHESHUNTMIU0515
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,URGENT CARE,HAVERSTOCK HEALTHCARE LTD,8256754,"50,242.00",,CHESHUNTMIU0615
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8150839,"2,901,591.92",,28011939
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8150842,"58,031.84",,28011940
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Prior Year,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8159195,"28,992.76",,28011476
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8193023,"88,953.16",,28011878
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Prior Year,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8265438,"38,163.65",,28010516
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Prior Year,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8401956,"78,328.00",,28011693
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Prior Year,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8402500,"-68,681.25",,28012039
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8402530,"176,876.40",,28012045
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,HERTFORDSHIRE COUNTY COUNCIL,8075424,"4,424,000.00",,1801713469
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,HERTFORDSHIRE COUNTY COUNCIL,8075424,"848,000.00",,1801713469
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,8075424,"326,000.00",,1801713469
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,8150881,"188,405.00",,1801715459
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,8160458,"188,405.00",,1801715458
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,8192984,"173,000.00",,1801687287
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Services From Local Authorities,NURSING DIRECTORATE,HERTFORDSHIRE COUNTY COUNCIL,8275881,"82,571.00",,1801699361
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,8320220,"188,405.00",,1801727725
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Social Care-ICES,COMMUNITY SERVICES,HERTFORDSHIRE COUNTY COUNCIL,8402662,"469,550.00",,1801728050
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HERTS URGENT CARE,8193848,"127,337.00",,2715
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,8193873,"337,751.67",,2708
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,8256723,"114,633.36",,2712
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,8175630,"92,822.00",654945990,H0118188
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Furniture & Fittings,NON RECURRENT PROGRAMMES,JPA FURNITURE,8402212,"29,414.24",,119831
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,8399385,"35,642.30",,HT000017647
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,8399385,393.6,,HT000017647
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,8150795,"71,316.00",654463720,A0005883
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,8150813,"129,960.42",,52962605
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,8438963,"-98,882.59",,52963417
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,MARIE STOPES INTERNATIONAL,8320106,"50,227.47",882426016,MS150996
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,MEDICAL SERVICES LTD,8175415,"169,478.59",123355441,SIN014623
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,MID ESSEX HOSPITALS SERVICES NHS TRUST,8193895,"108,041.00",,ME2000088989
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,8209400,"62,920.00",,IC0023787
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,8209416,"329,083.00",,IC0023727
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,8399401,"-56,113.34",,HT000017656
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,8399403,"108,749.29",,HT000017657
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,8399403,"3,780.05",,HT000017657
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS CCG-Non Contract,BUSINESS INFORMATICS,NHS BEDFORDSHIRE CCG,8275954,"101,609.00",,7020700505
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Cont Care- Children,CHC CHILDREN,NHS HERTS VALLEYS CCG,8193094,"415,838.17",,7021200222
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,NHS HERTS VALLEYS CCG,8275853,"2,132,984.85",,7021200221
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS CCG-Non Contract,Winter Resilience,NHS WEST ESSEX CCG,8120643,"470,467.00",,7022000211
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,8238687,"790,795.00",,29314
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,CHC Risk Pool Contribution,CHC CHILD PERS HLTH BUD,ONE-OFF SUPPLIER,8326106,"72,065.90",,101940-16-JUN-2015
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Cont Care- Retrospective Claims,CHC ADULT FULLY FUNDED,ONE-OFF SUPPLIER,8359974,"28,634.86",,101941-16-JUN-2015
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Cont Care- Retrospective Claims,CHC ADULT FULLY FUNDED,ONE-OFF SUPPLIER,8359975,"19,984.21",,101939-16-JUN-2015
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,CHC Risk Pool Contribution,CHC CHILD PERS HLTH BUD,ONE-OFF SUPPLIER,8359975,"35,719.62",,101939-16-JUN-2015
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,8209422,"112,743.00",654935994,I0092247
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PATHOLOGY PARTNERSHIP,8226337,"397,001.00",,77000303
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PATHOLOGY PARTNERSHIP,8226341,"90,964.43",,77000363
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,8226219,"447,571.00",,ENHCCGPINJUN15
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,8432052,"-165,164.00",,ENHCCGPINECRFINALSEPJAN1415
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8226141,"300,000.00",654964985,BL141272
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8320243,"4,429,024.83",654964985,BL150401
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,RAMSAY HEALTH CARE UK,8275831,"215,000.00",,ENHERTS0415PF
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RIVERS HOSPITAL,8306448,"639,866.00",426505170,ENHJUN2015RIVERS
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RIVERS HOSPITAL,8306465,"639,866.00",426505170,ENHAPR2015RIVERSV2
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RIVERS HOSPITAL,8306479,"-520,717.00",426505170,ENHMAY2015RIVERSCR
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RIVERS HOSPITAL,8306531,"639,866.00",426505170,ENHMAY2015RIVERSV2
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RIVERS HOSPITAL,8306552,"-520,717.00",426505170,ENHAPR2015RIVERSCR
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,8150793,"180,750.84",,I0174072
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,8193877,"1,798,631.00",654946987,I0101098
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,8199237,"1,533,607.00",654946987,I0100194
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,8209737,"195,690.00",654946987,I0101069
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,8275781,"373,037.00",654946987,I0074016
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,8275798,"168,403.00",654946987,I0074274
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,8150845,"258,583.00",,B0028197
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Computer Software/License,IM&T,SOFTCAT LTD,8200456,"95,040.00",491848503,INV01156987
Department of Health,NHS East & North Hertfordshire CCG,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,8135183,"-94,574.27",915970991,06K310315RECHPN
