Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6558777,"-25,072.29",,HT000014447
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6558778,"2,084.95",,HT000014448
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6558778,"62,972.52",,HT000014448
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,6386757,"218,284.49",,209729
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,6575692,"238,430.01",,211506
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6387534,"59,462.00",,69434
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,6290846,"28,404.88",,I0139149
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,6367164,"122,713.99",,14865
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,6543154,"47,828.05",,14871
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,6558784,"-42,000.15",,HT000014454
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,6558785,"77,899.56",,HT000014455
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,6558785,"2,680.65",,HT000014455
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6349461,"854,197.05",,70011847
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6386867,"124,829.49",,80153351
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6504337,"90,964.43",,77000149
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6518218,"397,001.00",,77000088
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,6367265,"25,226.00",,52742591
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,6300601,"16,253,432.00",,4112475
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,6300608,"44,492.00",,4112485
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hcare Srv Rec NHS Trust-Non Contract,WINTER PRESSURES,EAST AND NORTH HERTFORDSHIRE NHS TRUST,6503901,"1,600,000.00",,4111554
Department of Health,NHS East & North Hertfordshire CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,6367276,"1,248,556.00",,829411
