Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,7346514,"-26,120.59",,HT000015752
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,7346515,"56,580.09",,HT000015753
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,7346515,"2,704.80",,HT000015753
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,7088484,"34,605.60",,8409706
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,7088509,"33,032.02",,8412117
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,7088556,"33,840.26",,8413630
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,7088565,"26,854.24",,8414679
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,7109694,"67,930.23",,8408180
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,7109711,"43,242.76",,8408897
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,7109721,"42,195.64",,8411388
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,7158354,"33,744.89",,8415360
Department of Health,NHS East & North Hertfordshire CCG,31/03/2015,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,6994588,"35,420.00",,41420154
