Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,C&M-GMS LES Care Home/Nursing Home,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,336143,151.34,,HT000000695
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,C&M-GMS LES Phlebotomy,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,336143,259,,HT000000695
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,336143,"54,364.07",,HT000000695
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,C&M-GMS NES Near Patient Testing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,336143,387.43,,HT000000695
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Clinical&Medical-Independent Sector,URGENT CARE,ASSURA LEA VALLEY LLP,234990,"60,115.50",,812Z325
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,261821,"2,057,913.00",,I0057850
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,229232,"51,884.00",,I0126913
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,243854,"57,733.18",,11469
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,243860,"47,305.48",,11470
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,243936,"522,706.67",,14523
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,229214,"895,928.29",,70010141
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,229244,"13,390,068.00",,4092640
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,229249,"79,797.00",,4092648
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,234980,"1,298,125.00",,818543
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,281594,"33,917.00",,724778
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,311768,"33,917.00",,724816
Department of Health,NHS East & North Hertfordshire CCG,31/05/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,261766,"69,751.35",,X0101077
