Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,3148837,"-23,201.52",,HT000007558
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,3148838,"49,675.06",,HT000007559
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Clinical&Medical-Independent Sector,URGENT CARE,ASSURA LEA VALLEY LLP,2967686,"60,115.50",,812Z350
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,3013462,"2,031,891.00",,I0064940
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,2863298,"38,962.00",,41417820
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,2927345,"213,958.33",,183344
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,2927911,"213,958.33",,185805
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,2967907,"-36,099.00",,186307
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2832658,"32,283.00",,62160
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,2847668,"25,034.00",,I0132583
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,2889371,"57,733.17",,24151
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,2890067,"47,305.53",,24153
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,2993226,"35,761.71",,24208
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,2910526,"522,706.67",,14717
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,3148844,"-34,584.40",,HT000007566
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,3148845,"97,171.12",,HT000007567
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2806173,"91,951.38",,80139761
Department of Health,NHS East & North Hertfordshire CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2847623,"805,992.15",,70010151
