Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Legal / Prof Fees,CORPORATE GOVERNANCE,ADDLESHAW GODDARD LLP,1135456,"31,742.36",,332484
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,1276258,"-35,241.51",,HT000003581
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,1276259,"59,039.83",,HT000003582
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Independent Sector,URGENT CARE,ASSURA LEA VALLEY LLP,1148899,"60,115.50",,812Z334
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,1120899,"75,743.07",,8399861
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,1171269,"55,455.44",,8400912
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,1148946,"2,031,891.00",,I0060836
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,1121525,"-95,531.00",,172713
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,1148484,"-88,874.57",,172822
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,1148256,"25,942.00",,I0129068
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,1148840,"57,733.18",,17989
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,1148877,"47,305.48",,17991
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,1293060,"34,734.59",,18045
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,1135541,"522,706.67",,14599
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,1148967,"-163,454.18",,2028
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,1276265,"-32,563.02",,HT000003588
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,1276266,"67,144.93",,HT000003589
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1121512,"805,992.15",,70010145
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1196203,"-484,633.97",,60018250
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1069184,"26,711.00",,8014000925
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1069220,"25,769.00",,8014001398
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Independent Sector,COUNSELLING SERVICES,COUNSELLING FOUNDATION (THE),1302831,"-28,200.00",,EN112071307C
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,1276272,714.35,,HT000003595
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,1276272,"26,404.90",,HT000003595
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,C&M-GMS LES Alcohol,LOCAL ENHANCED SERVICES,CRI,1120925,"33,000.00",,15685
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1091799,"13,390,068.00",,4096737
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1091804,"79,797.00",,4096752
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,1091715,"1,298,125.00",,819844
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Cost per Case,PATIENT TRANSPORT,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,1185025,"33,917.00",,820151
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,1148340,"69,751.35",,X0105620
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,1104599,"127,208.00",,3119271
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,1312753,"127,208.00",,3121516
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,1135534,"2,423,201.00",,28006720
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Cost per Case,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,1196124,"26,790.45",,28006556
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Cost per Case,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,1302702,"26,198.03",,28006038
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Cost per Case,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,1302719,"30,476.60",,28006275
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Othe Public Sector,CARERS,HERTFORDSHIRE COUNTY COUNCIL,1135343,"68,664.00",,1801423160
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Social Care-ICES,COMMUNITY SERVICES,HERTFORDSHIRE COUNTY COUNCIL,1135354,"408,731.00",,1801423156
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,1171286,"160,186.00",,1801423158
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,HERTFORDSHIRE COUNTY COUNCIL,1293018,"4,272,000.00",,1801430897
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,HERTFORDSHIRE COUNTY COUNCIL,1293018,"858,000.00",,1801430897
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,1293018,"331,000.00",,1801430897
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,1293034,"185,256.00",,1801430908
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Hcare Srv Rec Oth-NHS,PROGRAMME PROJECTS,HERTS URGENT CARE,1280580,"95,527.80",,2169
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,1292990,"127,337.00",,2163
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,1293003,"320,330.35",,2165
Department of Health,NHS East & North Hertfordshire CCG,30/09/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,HOLLY HOUSE HOSPITAL,1209052,"26,803.60",,CABENHERTS0613
