Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (œ),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,1828203,"-29,166.66",,HT000004930
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,1828204,"58,935.67",,HT000004931
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,URGENT CARE,ASSURA LEA VALLEY LLP,1623671,"60,115.50",,812Z342
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,URGENT CARE,ASSURA LEA VALLEY LLP,1816602,"60,115.50",,812Z345
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,1677677,"2,031,891.00",,I0061738
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,1660397,"-68,831.00",,176788
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,1660416,"-61,702.00",,176765
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,1718954,"72,904.12",,170758
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,1833166,"295,986.00",,167364
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,1833178,"295,986.00",,169568
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,1858308,"303,294.00",,165412
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1706556,"61,041.00",,59981
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1770883,"51,845.00",,60276
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,1677631,"25,942.00",,I0130134
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,1645401,"46,518.71",,19989
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,1833322,"57,733.18",,20717
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,1833331,"47,305.48",,20719
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,1833388,"45,904.50",,20850
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,1677684,"-138,307.40",,2034
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,1678120,"522,706.67",,14623
