Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,3475859,"-26,644.15",,HT000008261
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,3475862,"52,789.98",,HT000008262
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,3475862,"2,331.45",,HT000008262
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,3341759,"1,447,945.00",,I0065807
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3296511,"71,354.00",,63702
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,3340705,"25,034.00",,I0133653
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,3386011,"92,710.24",,25309
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,3386029,"77,864.68",,25307
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,3445684,"63,508.29",,25429
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,3445724,"72,185.51",,25431
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,3373423,"522,706.67",,14723
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,3475875,"-31,611.45",,HT000008268
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,3475877,"64,885.38",,HT000008269
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,3475877,"2,260.80",,HT000008269
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,BUPA CARE HOMES,3324623,"26,724.41",,WDV034528
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3373935,"859,113.24",,70011838
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3495179,"264,924.40",,80143097
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Clinical&Medical-Clinical Other,PROGRAMME PROJECTS,CANTERBURY WAY SURGERY,3424845,"25,000.00",,06KJWEBSTER26031425000
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,3289754,"15,744,385.00",,4103936
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,3357315,"44,487.00",,4103914
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,3340681,"1,248,556.00",,824960
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,3373893,"33,917.00",,825168
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,3400168,"62,114.00",,824621
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,3400217,"171,460.00",,824642
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust-Non Contract,URGENT CARE,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,3400321,"29,000.00",,825155
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,3400339,"-233,574.00",,825062
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust-Over/ Under Performance,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,3431106,"-568,593.00",,825135
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Clinical&Medical-Voluntary Sector,HOSPICES,GARDEN HOUSE HOSPICE,3431268,"1,098,035.00",,2014400
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,3373550,"74,512.58",,X0116023
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,3373591,"95,995.00",,3137757
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HEATHERWOOD & WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,3340599,"25,387.00",,5710002869
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,3234185,"278,938.55",,28008173
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,3324613,"2,567,628.42",,28008261
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,3340730,"326,000.00",,1801532117
Department of Health,NHS East & North Hertfordshire CCG,30/04/2014,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,HERTFORDSHIRE COUNTY COUNCIL,3340730,"848,000.00",,1801532117
