Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,4765516,"-26,968.08",,HT000011159
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,4765517,"55,457.76",,HT000011160
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,4765517,"2,922.15",,HT000011160
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,4533753,"-391,885.00",,BCF136
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,4815011,"-468,183.00",,C0006312
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,4621536,"48,424.00",,193774
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,4622159,"137,231.00",,200413
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4586891,"59,462.00",,66314
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,4586576,"25,343.00",,I0135851
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,4621617,"-92,710.24",,27028
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,4621799,"85,056.22",,28407
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,4622073,"25,555.22",,29638
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,4622114,"27,240.79",,29633
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,4586464,"522,706.67",,14786
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,4765523,"-39,718.21",,HT000011166
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,4765524,"73,378.63",,HT000011167
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,4765524,"2,720.90",,HT000011167
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4533885,"397,001.00",,77000083
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4533894,"90,964.43",,77000144
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4533899,"854,197.05",,70011842
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4622018,"84,737.32",,80148117
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Miscellaneous Expenditure (L9),NON RECURRENT PROGRAMMES,COMMUNITY HEALTH PARTNERSHIPS LTD,4586964,"151,200.00",,CHP108
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Miscellaneous Expenditure (L9),NON RECURRENT PROGRAMMES,COMMUNITY HEALTH PARTNERSHIPS LTD,4587076,"180,000.00",,CHP107
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4534037,"15,253,430.00",,4107745
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4534045,"44,492.00",,4107755
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,4586776,"1,248,556.00",,826879
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,4586935,"33,917.00",,827198
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Computer Maintenance,PRIMARY CARE IT,EGTON MEDICAL INFORMATION SYSTEMS LTD,4645065,"-28,192.69",482122369,CN2IN791392
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,4586679,"74,512.58",,X0120500
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,4586711,"95,995.00",,3145280
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust-Contract Cost per Case,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,4519359,"26,716.97",,28008874
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,4519497,"2,567,628.42",,28008890
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,HERTFORDSHIRE COMMUNITY NHS TRUST,4565455,"125,875.50",,28008195
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,HERTFORDSHIRE COMMUNITY NHS TRUST,4621743,"165,176.69",,28008811
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Hcare Srv Rec NHS Trust-CQUIN,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,4621959,"100,868.34",,28008844
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,4714111,"123,032.00",,1801586288
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,4714120,"188,405.00",,1801586284
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Social Care-ICES,COMMUNITY SERVICES,HERTFORDSHIRE COUNTY COUNCIL,4797185,"469,550.00",,1801589610
Department of Health,NHS East & North Hertfordshire CCG,31/08/2014,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,4797197,"161,150.00",,1801590914
