Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,28/02/2015,C&M-GMS LES Cardiovascular Disease,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6885535,"4,300.00",,HT000014785
Department of Health,NHS East & North Hertfordshire CCG,28/02/2015,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6885535,"29,834.32",,HT000014785
Department of Health,NHS East & North Hertfordshire CCG,28/02/2015,C&M-GMS NES Near Patient Testing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6885535,711.6,,HT000014785
Department of Health,NHS East & North Hertfordshire CCG,28/02/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6907095,"-39,387.35",,HT000015129
Department of Health,NHS East & North Hertfordshire CCG,28/02/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6907096,"62,799.47",,HT000015130
Department of Health,NHS East & North Hertfordshire CCG,28/02/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,6907096,"3,590.30",,HT000015130
Department of Health,NHS East & North Hertfordshire CCG,28/02/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,6942001,"249,640.32",,213713
Department of Health,NHS East & North Hertfordshire CCG,28/02/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,6942064,"30,585.93",,214408
Department of Health,NHS East & North Hertfordshire CCG,28/02/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6764026,"59,462.00",,70033
Department of Health,NHS East & North Hertfordshire CCG,28/02/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6948385,"126,968.00",,69187
