Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,4434994,"-31,177.83",,HT000010491
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,4434995,"2,833.60",,HT000010492
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,4434995,"55,337.56",,HT000010492
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4249308,"59,462.00",,65579
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,4248963,"25,343.00",,I0135068
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,4209395,"56,819.00",,27339
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,4230014,"83,670.88",,14785
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,4266531,"522,706.67",,14775
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,4435001,"-31,727.65",,HT000010498
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,4435002,"68,139.78",,HT000010499
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,4435002,"2,157.40",,HT000010499
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4209790,"854,197.05",,70011841
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4209801,"90,964.43",,77000143
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4266765,"397,001.00",,77000082
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4136270,"44,492.00",,4106768
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4285388,"14,271,525.00",,4106975
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,4249102,"1,248,556.00",,826391
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,4249392,"33,917.00",,826573
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Computer Maintenance,PRIMARY CARE IT,EGTON MEDICAL INFORMATION SYSTEMS LTD,4122524,"28,192.69",482122369,2IN7913921
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,4266754,"74,512.58",,X0119313
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,4403653,"-105,397.87",,X0116698
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,4266621,"95,995.00",,3142794
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,4403665,"-198,246.00",,9007231
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,4187493,"2,567,628.42",,28008665
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,4209887,"88,614.00",,28008674
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,4209909,"85,319.00",,28008675
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Hcare Srv Rec NHS Trust-Contract Cost per Case,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,4266665,"27,234.70",,28008608
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,4122589,"326,000.00",,1801558981
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,HERTFORDSHIRE COUNTY COUNCIL,4122589,"848,000.00",,1801558981
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,HERTFORDSHIRE COUNTY COUNCIL,4122589,"4,397,000.00",,1801558981
Department of Health,NHS East & North Hertfordshire CCG,31/07/2014,Clinical&Medical-Othe Public Sector,PATIENT TRANSPORT,HERTFORDSHIRE COUNTY COUNCIL,4187549,"72,813.00",,1801565184
