Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,C&M-GMS NES Near Patient Testing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,4058260,774.86,,HT000009409
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,4058260,"29,492.99",,HT000009409
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,4075411,"-27,855.97",,HT000009740
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,4075412,"56,295.88",,HT000009741
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,4075412,"2,589.90",,HT000009741
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,3909596,"1,447,945.00",,I0067422
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3926881,"59,462.00",,65017
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4031257,"54,257.11",,65267
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,3909540,"25,343.00",,I0134718
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,3813246,"39,676.49",,26338
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,3909131,"522,706.67",,14764
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,4075418,"-31,246.17",,HT000009747
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,4075419,"61,394.50",,HT000009748
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,4075419,"2,366.10",,HT000009748
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,C&M-PMS LES Care Home/Nursing Home,LOCAL ENHANCED SERVICES,BURVILL HOUSE SURGERY,3918236,"3,385.82",,HT000009273
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,BURVILL HOUSE SURGERY,3918236,"32,588.50",,HT000009273
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3813195,"102,335.40",,80144315
Department of Health,NHS East & North Hertfordshire CCG,30/06/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3813368,"854,197.05",,70011840
