Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS LES Demand Mgmt,LOCAL ENHANCED SERVICES,AMWELL STREET SURGERY,3747724,"41,398.00",,HT000008666
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS LES Demand Mgmt,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,3747723,"27,790.00",,HT000008664
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,3747723,"14,844.26",,HT000008664
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,3766324,"-26,860.04",,HT000009012
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,3766325,"2,449.20",,HT000009013
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,3766325,"52,981.84",,HT000009013
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Clinical&Medical-Independent Sector,URGENT CARE,ASSURA LEA VALLEY LLP,3609412,"60,115.50",,812Z351
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,3617786,"1,447,945.00",,I0066666
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,3634441,"27,738.00",,41417933
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3634757,"71,354.00",,64349
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3706465,"53,133.00",,64530
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3781763,"46,294.65",,64818
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,3601305,"25,343.00",,I0134041
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS LES Demand Mgmt,LOCAL ENHANCED SERVICES,BEDWELL MEDICAL CENTRE,3759908,"53,159.00",,HT000008665
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS LES Demand Mgmt,LOCAL ENHANCED SERVICES,BIRCHWOOD SURGERY,3747725,"48,884.50",,HT000008667
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,3569752,"92,710.24",,26220
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,3569765,"77,864.68",,26218
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,3569652,"96,702.24",,14750
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,3634515,"522,706.67",,14747
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS LES Demand Mgmt,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,3759910,"67,715.25",,HT000008670
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,3766331,"-34,979.59",,HT000009019
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,3766332,"61,613.14",,HT000009020
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,3766332,"2,252.95",,HT000009020
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3527376,"854,197.05",,70011839
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3634861,"396,140.00",,77000006
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3781779,"92,162.50",,77000141
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS LES Demand Mgmt,LOCAL ENHANCED SERVICES,CHELLS WAY SURGERY,3759911,"57,523.75",,HT000008671
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,3569484,"31,790.00",,8014005671
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS LES Demand Mgmt,LOCAL ENHANCED SERVICES,CHURCH STREET SURGERY BISHOPS STORT,3747727,"59,080.00",,HT000008672
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS LES Demand Mgmt,LOCAL ENHANCED SERVICES,CHURCH STREET SURGERY WARE,3747728,"31,059.00",,HT000008673
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,CHURCH STREET SURGERY WARE,3747728,131.1,,HT000008673
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS NES Near Patient Testing,LOCAL ENHANCED SERVICES,CHURCH STREET SURGERY WARE,3747728,411.15,,HT000008673
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS LES Demand Mgmt,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,3747730,"22,680.00",,HT000008675
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS LES Vasectomy,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,3747730,"2,700.00",,HT000008675
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,3747730,92.13,,HT000008675
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS NES Near Patient Testing,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,3747730,44.12,,HT000008675
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS LES Demand Mgmt,LOCAL ENHANCED SERVICES,CROMWELL MEDICAL CENTRE,3759912,"28,509.00",,HT000008676
Department of Health,NHS East & North Hertfordshire CCG,31/05/2014,C&M-GMS LES Demand Mgmt,LOCAL ENHANCED SERVICES,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,3759913,"51,901.00",,HT000008677
