Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,5846648,"-28,661.69",,HT000013104
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,5846649,"64,171.82",,HT000013105
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,5846649,"2,278.15",,HT000013105
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,5612995,"44,841.57",,204860
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,5613549,"-40,750.52",,206053
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,5783272,"214,419.00",,207353
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5681238,"59,462.00",,68334
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,5626924,"25,343.00",,I0137912
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,5799327,"68,233.22",,33902
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,5799347,"47,884.22",,33899
