Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS LES Cardiovascular Disease,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,5126128,"12,140.00",,HT000011487
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,5126128,"14,717.63",,HT000011487
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS NES Near Patient Testing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,5126128,387.43,,HT000011487
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,5131027,"-32,520.75",,HT000011768
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,5131028,"57,874.95",,HT000011769
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,5131028,"3,525.90",,HT000011769
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Hcare Srv Rec NHS Trust-Prior Year,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,4881660,"34,183.18",,41417647
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,4881784,"175,267.00",,200240
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4882060,"59,462.00",,67027
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,4881840,"25,343.00",,I0136500
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,4935901,"58,123.00",,I0133385
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,5134986,"-92,710.24",,27029
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,4849082,"-77,864.68",,27030
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,5161265,"-77,864.68",,27031
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,5135026,"62,924.43",,30776
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,5135114,"82,306.19",,31697
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,5161374,"85,599.96",,31700
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,5161280,"93,067.35",,30782
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,4849101,"94,613.05",,28411
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,4971511,"522,706.67",,14811
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS LES Cardiovascular Disease,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,5126129,"31,000.00",,HT000011492
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,5131034,"-37,172.33",,HT000011775
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,5131035,"74,063.18",,HT000011776
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,5131035,"2,712.85",,HT000011776
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4866083,"854,197.05",,70011843
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4912945,"135,309.86",,80145780
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4913104,"397,001.00",,77000084
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4913109,"90,964.43",,77000145
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4954978,"99,118.77",,80149612
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS LES Cardiovascular Disease,LOCAL ENHANCED SERVICES,DOLPHIN HOUSE SURGERY,5126131,"15,320.00",,HT000011498
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS LES Care Home/Nursing Home,LOCAL ENHANCED SERVICES,DOLPHIN HOUSE SURGERY,5126131,"2,092.81",,HT000011498
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS LES Intermediate Care,LOCAL ENHANCED SERVICES,DOLPHIN HOUSE SURGERY,5126131,"9,775.03",,HT000011498
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,DOLPHIN HOUSE SURGERY,5126131,"1,048.17",,HT000011498
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,C&M-GMS NES Near Patient Testing,LOCAL ENHANCED SERVICES,DOLPHIN HOUSE SURGERY,5126131,909.27,,HT000011498
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4936235,"15,253,432.00",,4108391
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4936245,"44,492.00",,4108400
