Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Legal / Prof Fees,CEO/ BOARD OFFICE,ADDLESHAW GODDARD LLP,855881,"57,907.22",,330476
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,1018652,"-26,338.27",,HT000002948
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,1018653,"64,261.10",,HT000002949
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Clinical&Medical-Independent Sector,URGENT CARE,ASSURA LEA VALLEY LLP,898181,"60,115.50",,812Z333
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,883948,"62,279.03",,8398221
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,883959,"85,752.18",,8399030
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,910402,"2,031,891.00",,I0060009
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,846204,"-72,904.00",,168889
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,910188,"25,942.00",,I0128517
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,898166,"57,733.18",,17187
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,898168,"47,305.48",,17188
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,982951,"522,706.67",,14591
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,1018659,"-34,642.35",,HT000002955
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,1018660,"66,983.69",,HT000002956
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,884074,"895,928.29",,70010144
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,884314,"-109,516.44",,60018043
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CAMBRIDGESHIRE & PETERBOROUGH NHS FOUNDATION TRUST,930874,"145,200.16",,9900009592
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CAMBRIDGESHIRE & PETERBOROUGH NHS FOUNDATION TRUST,930968,"72,600.08",,9900009772
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CAMBRIDGESHIRE & PETERBOROUGH NHS FOUNDATION TRUST,931026,"-217,800.24",,9910000822
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Clinical&Medical-Independent Sector,COUNSELLING SERVICES,COUNSELLING FOUNDATION (THE),995121,"29,240.00",,DNI131071307
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,846224,"13,390,068.00",,4095654
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,846226,"79,797.00",,4095663
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,834835,"1,298,125.00",,819226
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,898179,"33,917.00",,819645
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,910389,"69,751.35",,X0103918
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,883991,"127,208.00",,3116720
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,898155,"2,423,201.00",,28006496
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,HERTFORDSHIRE COMMUNITY NHS TRUST,957991,"88,935.00",,28006530
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Clinical&Medical-Serv Recd-NHS Trst,PROGRAMME PROJECTS,HERTFORDSHIRE COMMUNITY NHS TRUST,1023417,"78,940.00",,28006487
Department of Health,NHS East & North Hertfordshire CCG,31/08/2013,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,982371,"331,000.00",,1801421879
