Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/04/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CALVERT PRACTICE,KHU000023477,"£30,388.91",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A KUMAR-CHOUDHARY,KHU000023479,"£34,034.51",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000023481,"£148,403.99",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR M SHAIKH & PARTNER,KHU000023483,"£57,700.70",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000023485,"£104,876.41",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000023487,"£30,638.02",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000023488,"£48,573.27",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000023489,"£93,086.69",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000023491,"£204,604.65",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000023492,"£45,653.44",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,QUAYS MEDICAL CENTRE,KHU000023493,"£54,326.90",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,RIVERSIDE MEDICAL CENTRE KINGSTON HULL,KHU000023494,"£42,889.63",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,STORY STREET PRACTICE & WALK IN CENTRE,KHU000023495,"£104,671.54",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000023497,"£76,958.74",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000023636,"£59,391.41",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DIADEM MEDICAL PRACTICE,KHU000023639,"£133,992.69",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000023641,"£101,598.16",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000023643,"£77,873.64",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR CHOWDHURY G M & PARTNER,KHU000023644,"£28,344.85",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000023645,"£35,607.25",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR HENDOW G T,KHU000023647,"£25,310.53",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR FOULDS M & PARTNER,KHU000023649,"£89,725.86",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MILLER J & PARTNERS,KHU000023652,"£63,283.18",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MALCZEWSKI G S,KHU000023654,"£25,999.87",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR NAYAR J K,KHU000023656,"£45,232.78",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MUSIL J & PARTNER,KHU000023659,"£53,662.00",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/04/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RAWCLIFFE V A & PARTNERS,KHU000023662,"£93,852.09",LOCAL ENHANCED SERVICES,
