Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000029009,"£104,208.74",CONTRACT PAYMENTS MONTH 1
Department of Health,03F,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000029011,"£81,278.24",CONTRACT PAYMENTS MONTH 1
Department of Health,03F,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000029013,"£36,962.87",CONTRACT PAYMENTS MONTH 1
Department of Health,03F,30/04/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000029014,"£37,080.69",CONTRACT PAYMENTS MONTH 1
Department of Health,03F,30/04/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000029015,"£240,644.01",CONTRACT PAYMENTS MONTH 1
Department of Health,03F,30/04/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000029017,"£182,264.99",CONTRACT PAYMENTS MONTH 1
Department of Health,03F,30/04/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000029018,"£32,228.11",CONTRACT PAYMENTS MONTH 1
Department of Health,03F,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000029020,"£72,668.97",CONTRACT PAYMENTS MONTH 1
Department of Health,03F,30/04/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AVENUES MEDICAL CENTRE,KHU000029230,"£53,381.72",CONTRACT PAYMENTS MONTH 1
Department of Health,03F,30/04/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DIADEM MEDICAL PRACTICE,KHU000029232,"£109,988.55",LOCAL ENHANCED SERVICES
Department of Health,03F,30/04/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000029234,"£78,891.76",LOCAL ENHANCED SERVICES
Department of Health,03F,30/04/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000029236,"£77,176.82",LOCAL ENHANCED SERVICES
Department of Health,03F,30/04/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000029238,"£33,162.74",LOCAL ENHANCED SERVICES
Department of Health,03F,30/04/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR FOULDS M & PARTNER,KHU000029242,"£69,113.05",LOCAL ENHANCED SERVICES
Department of Health,03F,30/04/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MILLER J & PARTNERS,KHU000029245,"£63,486.14",LOCAL ENHANCED SERVICES
Department of Health,03F,30/04/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MUSIL J & PARTNER,KHU000029251,"£64,389.55",LOCAL ENHANCED SERVICES
Department of Health,03F,30/04/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RAWCLIFFE V A & PARTNERS,KHU000029254,"£104,763.49",LOCAL ENHANCED SERVICES
Department of Health,03F,30/04/2018,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DRS YU OGUNBA & AHMED,KHU000029257,"-£25,952.50",CONTRACT PAYMENTS MONTH 1
Department of Health,03F,30/04/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DRS YU OGUNBA & AHMED,KHU000029258,"£81,056.65",LOCAL ENHANCED SERVICES
Department of Health,03F,30/04/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,FAITH HOUSE SURGERY,KHU000029260,"£71,254.21",LOCAL ENHANCED SERVICES
Department of Health,03F,30/04/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SPRINGS MEDICAL CENTRE CONSORTIUM,KHU000029264,"£128,944.16",LOCAL ENHANCED SERVICES
Department of Health,03F,30/04/2018,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,YORKARE HOMES LTD,3868,"£55,131.95",ONE TO ONE SUPPORT ID 18306 APR TO OCT 17
Department of Health,03F,30/04/2018,Clinical&Medical-Not For Profit,COMMISSIONING SCHEMES,HUMBERSIDE FIRE & RESCUE SERVICE,I011730,"£95,100.00",HULL FIRST FUNDING JAN 18-MARCH 18
Department of Health,03F,30/04/2018,Healthcare Srv Rec CCG,COMMISSIONING SCHEMES,NHS NORTH EAST LINCOLNSHIRE CCG,7015701123,"£76,000.00",STP RESPITORY CARE FUNDING 17/18
Department of Health,03F,30/04/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410093549,"£56,072.00",APRIL 2018 BLOCK INVOICE
Department of Health,03F,30/04/2018,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810022419,"£844,473.00",APRIL 2018 BLOCK INVOICE
