Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,115112,"57,231.40",
Department of Health,NHS Hull CCG,31/08/2013,Services From Local Authorities,INTERPRETING SERVICES,HULL CITY COUNCIL,1000178319,"30,049.75",
Department of Health,NHS Hull CCG,31/08/2013,Services From Local Authorities,INTERPRETING SERVICES,HULL CITY COUNCIL,1000178321,"29,429.70",
Department of Health,NHS Hull CCG,31/08/2013,Services From Local Authorities,COMMUNITY SERVICES,HULL CITY COUNCIL,1000179458,"46,400.00",
Department of Health,NHS Hull CCG,31/08/2013,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000178705,"37,558.44",
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HOME-START (HULL),22013,"27,500.00",
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,31314,"53,284.76",
Department of Health,NHS Hull CCG,31/08/2013,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000813,"47,285.37",
Department of Health,NHS Hull CCG,31/08/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,991,"64,927.07",
Department of Health,NHS Hull CCG,31/08/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210004167,"14,183,333.33",
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,115292,"47,175.26",
Department of Health,NHS Hull CCG,31/08/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,VOYAGE LTD,CARE7631804,"28,772.00",
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F010813PFHUL,"395,122.00",
Department of Health,NHS Hull CCG,31/08/2013,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810000767,"96,490.00",
Department of Health,NHS Hull CCG,31/08/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810000705,"773,744.00",
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Othe Public Sector,COLLABORATIVE COMMISSIONING,HULL CITY COUNCIL,1000178680,"60,242.26",
Department of Health,NHS Hull CCG,31/08/2013,Charges from CSU,FINANCE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100214,"295,736.00",
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410000158,"99,358.00",
Department of Health,NHS Hull CCG,31/08/2013,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210004313,"26,097.00",
Department of Health,NHS Hull CCG,31/08/2013,Hcare Srv Rec Oth-NHS,LOCAL ENHANCED SERVICES,ASSURA EAST RIDING LLP,803Z244,"60,187.50",918510332
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,22,"-99,358.00",
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410000254,"234,750.00",
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410000256,"96,333.00",
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410000259,"1,943,275.00",
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NRS HEALTHCARE,1800088658,"77,719.84",
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NRS HEALTHCARE,1800088668,"133,816.31",
Department of Health,NHS Hull CCG,31/08/2013,Hcare Srv Rec Oth-NHS,LOCAL ENHANCED SERVICES,ASSURA EAST RIDING LLP,803Z243,"60,187.50",918510332
Department of Health,NHS Hull CCG,31/08/2013,Hcare Srv Rec Oth-NHS,LOCAL ENHANCED SERVICES,ASSURA EAST RIDING LLP,803Z245,"60,187.50",918510332
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410000157,"2,178,025.00",
Department of Health,NHS Hull CCG,31/08/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,21,"-2,178,025.00",
Department of Health,NHS Hull CCG,31/08/2013,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000178826,"520,315.32",
Department of Health,NHS Hull CCG,31/08/2013,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410000181,"38,096.64",
Department of Health,NHS Hull CCG,31/08/2013,Services From Local Authorities,CARERS,HULL CITY COUNCIL,1000180276,"33,421.67",
Department of Health,NHS Hull CCG,31/08/2013,Services From Local Authorities,COMMUNITY SERVICES,HULL CITY COUNCIL,1000180273,"123,028.56",
