Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/08/2017,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010050398,"£55,782.66",NCA MAY FLEX 17,
Department of Health,03F,31/08/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A KUMAR-CHOUDHARY,KHU000025421,"£34,188.29",CONTRACT PAYMENTS MONTH 5,
Department of Health,03F,31/08/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000025423,"£152,818.27",CONTRACT PAYMENTS MONTH 5,
Department of Health,03F,31/08/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000025425,"£91,827.39",CONTRACT PAYMENTS MONTH 5,
Department of Health,03F,31/08/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000025427,"£42,583.72",CONTRACT PAYMENTS MONTH 5,
Department of Health,03F,31/08/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000025429,"£36,137.51",CONTRACT PAYMENTS MONTH 5,
Department of Health,03F,31/08/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000025431,"£100,935.72",CONTRACT PAYMENTS MONTH 5,
Department of Health,03F,31/08/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000025432,"-£62,761.42",CONTRACT PAYMENTS MONTH 5,
Department of Health,03F,31/08/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000025433,"£172,804.39",CONTRACT PAYMENTS MONTH 5,
Department of Health,03F,31/08/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000025435,"£30,004.50",CONTRACT PAYMENTS MONTH 5,
