Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,31/08/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000040286,"£91,655.83",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000040288,"£46,967.46",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000040290,"£43,525.19",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000040291,"-£199,062.50",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000040292,"£462,132.42",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000040293,"-£281,472.49",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000040294,"£440,956.60",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000040452,"£84,399.34",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR BLOW J D & PARTNERS,KHU000040453,"-£44,857.36",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000040454,"£105,291.53",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000040456,"£93,478.55",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000040458,"£42,146.94",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR HENDOW G T,KHU000040462,"£29,329.51",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR FOULDS M & PARTNER,KHU000040463,"-£35,262.00",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR FOULDS M & PARTNER,KHU000040464,"£124,764.40",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000040465,"-£122,536.17",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR JR LORENZ & PARTNERS,KHU000040466,"£777,068.20",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MILLER J & PARTNERS,KHU000040468,"£97,115.17",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DRS YU OGUNBA & AHMED,KHU000040475,"£100,154.80",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SUTTON MANOR SURGERY,KHU000040481,"£144,647.45",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-PMS LES Complex Wound Care,LOCAL ENHANCED SERVICES,DR JR LORENZ & PARTNERS,Q12021B81048,"£30,414.57",B81048 LESQ12021 ZOLADEX
Department of Health,03F,31/08/2020,Professional Fees,PLANNED CARE,SERUM MANAGEMENT,117,"£26,880.00",CONSULTANCY SERVICES MAY 20
Department of Health,03F,31/08/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000040296,"£36,943.19",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WOLSELEY MEDICAL CENTRE,KHU000040298,"£69,808.01",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS SURGERY,KHU000040300,"£119,157.89",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,EAST HULL FAMILY PRACTICE,KHU000040301,"-£75,713.47",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,EAST HULL FAMILY PRACTICE,KHU000040302,"£339,268.91",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CITY HEALTH PRACTICE LTD,KHU000040304,"£30,818.28",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HAXBY GROUP NEWINGTON,KHU000040306,"£104,961.31",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR NAYAR J K,KHU000040470,"£50,172.03",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR WEIR J A D & PARTNERS,KHU000040472,"-£47,081.88",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR WEIR J A D & PARTNERS,KHU000040473,"£161,031.48",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WILBERFORCE SURGERY,KHU000040483,"£51,390.09",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BURNBRAE MEDICAL PRACTICE,KHU000040485,"-£43,421.10",CONTRACT PAYMENT MONTH 5
Department of Health,03F,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BURNBRAE MEDICAL PRACTICE,KHU000040486,"£83,848.45",CONTRACT PAYMENT MONTH 5
