Department family,Entity,Expense area,Expense Type,Supplier,Transaction number,Date,AP Amount (£),VAT registration number
Department of Health,NHS Hull CCG,MEDICINES MANAGEMENT - CLINICAL,Charges from CSU,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100417,31.12.13,32751,
Department of Health,NHS Hull CCG,PROGRAMME PROJECTS,Charges from CSU,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100437,31.12.13,53921,
Department of Health,NHS Hull CCG,NCAS/OATS,Hcare Srv Rec Fdtn Trust-Non Contract,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010010266,31.12.13,26213.55,
Department of Health,NHS Hull CCG,ACUTE COMMISSIONING,Hcare Srv Rec NHS Trust-Contract Baseline,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210005983,31.12.13,14183333.33,
Department of Health,NHS Hull CCG,PROGRAMME PROJECTS,Computer Network Costs,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100407,31.12.13,49395.6,
Department of Health,NHS Hull CCG,PROGRAMME PROJECTS,Charges from CSU,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100483,31.12.13,-104295.5,
Department of Health,NHS Hull CCG,PROGRAMME PROJECTS,Charges from CSU,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100552,31.12.13,53921,
Department of Health,NHS Hull CCG,MEDICINES MANAGEMENT - CLINICAL,Charges from CSU,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100559,31.12.13,"32,751.00",
Department of Health,NHS Hull CCG,FINANCE,Charges from CSU,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100572,31.12.13,"271,707.00",
Department of Health,NHS Hull CCG,MENTAL HEALTH CONTRACTS,Hcare Srv Rec Fdtn Trust-Contract Baseline,HUMBER NHS FOUNDATION TRUST,1010001158,31.12.13,"2,380,039.72",
Department of Health,NHS Hull CCG,MENTAL HEALTH CONTRACTS,Hcare Srv Rec Fdtn Trust-Contract Baseline,HUMBER NHS FOUNDATION TRUST,1010001159,31.12.13,"204,247.28",
Department of Health,NHS Hull CCG,COMMUNITY SERVICES,Hcare Srv Rec Fdtn Trust-Contract Baseline,HUMBER NHS FOUNDATION TRUST,1010001160,31.12.13,"424,803.81",
Department of Health,NHS Hull CCG,COMMUNITY SERVICES,Hcare Srv Rec Fdtn Trust-Contract Baseline,HUMBER NHS FOUNDATION TRUST,1010001161,31.12.13,"440,285.23",
Department of Health,NHS Hull CCG,WINTER PRESSURES,Hcare Srv Rec NHS Trust-Contract Variation,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210006225,31.12.13,"2,166,000.00",
