Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (œ),Description,VAT registration number
Department of Health,03F,31/12/2014,Audit Fees: Internal,FINANCE,HUMBER NHS FOUNDATION TRUST,1010003859,"46,374.00",INTERNAL AUDIT & COUNTER FRAUD SERVICES 1 APRIL 2014 - 31 OCTOBER 2014,
Department of Health,03F,31/12/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400006957,"31,437.00",NCA OCTOBER 2014,
Department of Health,03F,31/12/2014,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JS PARKER & PARTNERS,KHU000009983,"25,523.90",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/12/2014,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000200825,"43,376.01",FNC RECHARGES 13/10/2014 - 09/11/2014,
Department of Health,03F,31/12/2014,Charges from CSU,Service Planning & Reform,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102571,"88,754.93","PROVIDING MODELLING SUPPORT IN THE DEVELOPMENT OF A PROOF OF CONCEPT
 MODEL",
Department of Health,03F,31/12/2014,Charges from CSU,Service Planning & Reform,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102707,"-88,754.93",CREDIT MEMO INVOICE 7310102707,
Department of Health,03F,31/12/2014,Charges from CSU,Service Planning & Reform,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102713,"70,000.00",MODELLING SUPPORT ON DEVELOPMENT OF CONCEPT AND SCENARIO MODEL,
Department of Health,03F,31/12/2014,Charges from CSU,FINANCE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102789,"236,587.00",SLA DECEMBER 2014,
Department of Health,03F,31/12/2014,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102897,"47,988.08",COMMISSIONING SUPPORT PER SLA - PROG DECEMBER 2014 MEDS MAN,
Department of Health,03F,31/12/2014,Charges from CSU,PROGRAMME PROJECTS,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102904,"52,233.00",GP IT SLA DECEMBER 2014,
Department of Health,03F,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,1010003904,"463,250.32",THERAPY SERVICES BASELINE CONTRACT DECEMBER 2014,
Department of Health,03F,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010003906,"2,223,915.53",MENTAL HEALTH BASELINE CONTRACT DECEMBER 2014/15,
Department of Health,03F,31/12/2014,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010003907,"27,795.83",CHARGE FOR MENTAL HEALTH DECEMBER 2014,
Department of Health,03F,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410000033,"80,046.00",AGREED CONTRACT VALUE DECEMBER 2014,
