Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/12/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,60003566,112834.08,COSTS Q1 HEALTH CENTRES,
Department of Health,03F,31/12/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,60007611,37549.63,HEALTH CENTRE SERVICE CHARGES JULY 2016/17,
Department of Health,03F,31/12/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,60009800,37549.63,VOID COSTS AUGUST 2016 HEALTH CENTRES,
Department of Health,03F,31/12/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,60012440,37549.62,VOID COSTS SEPTEMBER 2016/17 HEALTH CENTRES,
Department of Health,03F,31/12/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,50405654,-325472,VOID BOOKABLE & SUBSIDY Q4 2015/16,
Department of Health,03F,31/12/2016,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH OF ENGLAND CSU,7310006974,30796,MEDICINE OPTIMISATION SERVICE NOV 16,
Department of Health,03F,31/12/2016,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH OF ENGLAND CSU,7310007170,30796,LOT 2A DEC 16,
Department of Health,03F,31/12/2016,Hcare Srv Rec Fdtn Trust-Non Contract,COMMISSIONING SCHEMES,SALFORD ROYAL NHS FOUNDATION TRUST,1000178781,60000,OHS URGENT CARE NEL PROGRAMME SUPPORT,
Department of Health,03F,31/12/2016,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010009571,67875,CHARGES FOR MEMORANDUM OF UNDERSTANDING FOR THE CHILDRENS & YOUNG PEOPLE IAPT SERVICE OCT 16,
Department of Health,03F,31/12/2016,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010009588,2784701.54,DECEMBER BLOCK CONTRACT 2016,
Department of Health,03F,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410057804,53062.17,AP09 BLOCK CONTRACT ,
Department of Health,03F,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810016811,824459,DEC 16 BLOCK,
Department of Health,03F,31/12/2016,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810016864,58757.45,NHS111 DECEMBER 2016,
Department of Health,03F,31/12/2016,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810016893,117810,PTS CONTRACT EXCLUDING CQUINS DEC 16,
Department of Health,03F,31/12/2016,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0004241,14383333,MONTHLY CONTRACT INVOICE DECEMBER 16,
Department of Health,03F,31/12/2016,PREPAYMENTS 1YR,BALANCE SHEET,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,PPH0003370,1500000,Q1 FREEZE CONTRACT OVERTRADE,
Department of Health,03F,31/12/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,60016766,37535.88,VOID COSTS VARIOUS HULL HEALTH CENTRES OCTOBER 2016,
Department of Health,03F,31/12/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,60019529,36072.48,VOID COSTS VARIOUS HEALTH CENTRES NOVEMBER 2016,
