Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,31/12/2020,C&M-GMS Other Addtl Staff Paymts,LOCAL ENHANCED SERVICES,DRS YU OGUNBA & AHMED,CCEFB81011,"£30,143.82",COVID CAPACITY EXPANSION FUND
Department of Health,03F,31/12/2020,C&M-APMS Other Addtl Staff Paymts,LOCAL ENHANCED SERVICES,KINGSTON MEDICAL GROUP,CCEFB81017,"£48,689.64",COVID CAPACITY EXPANSION FUND
Department of Health,03F,31/12/2020,C&M-GMS Other Addtl Staff Paymts,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,CCEFB81018,"£27,920.15",COVID CAPACITY EXPANSION FUND
Department of Health,03F,31/12/2020,C&M-GMS Other Addtl Staff Paymts,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,CCEFB81046,"£27,530.56",COVID CAPACITY EXPANSION FUND
Department of Health,03F,31/12/2020,C&M-GMS Other Addtl Staff Paymts,LOCAL ENHANCED SERVICES,DR JR LORENZ & PARTNERS,CCEFB81048,"£168,280.29",COVID CAPACITY EXPANSION FUND
Department of Health,03F,31/12/2020,C&M-PMS Additional Staff Payments,LOCAL ENHANCED SERVICES,DR MJ VARMA & PARTNERS,CCEFB81054,"£28,111.44",COVID CAPACITY EXPANSION FUND
Department of Health,03F,31/12/2020,C&M-APMS Other Addtl Staff Paymts,LOCAL ENHANCED SERVICES,KINGSWOOD SURGERY KINGSTON HULL,CCEFY02747,"£35,949.68",COVID CAPACITY EXPANSION FUND
Department of Health,03F,31/12/2020,C&M-GP PRACTICE REVENUE - PCTF,GP FORWARD VIEW,MODALITY PARTNERSHIP,HULLIGPRSRDRDAAUGDEC2020,"£34,805.00",IGPR SALARY REIMBURSEMENT AUG TO DEC
Department of Health,03F,31/12/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000041704,"£90,818.28",CONTRACT PAYMENT MONTH 9
Department of Health,03F,31/12/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000041706,"£47,084.21",CONTRACT PAYMENT MONTH 9
Department of Health,03F,31/12/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000041708,"£99,350.70",CONTRACT PAYMENT MONTH 9
Department of Health,03F,31/12/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000041709,"-£42,068.86",CONTRACT PAYMENT MONTH 9
Department of Health,03F,31/12/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000041710,"£294,899.56",CONTRACT PAYMENT MONTH 9
